Candidate,Party,State,Office,Incumbency,Result,Total Money
"GIDDINGS, HELEN",DEMOCRATIC,TX,HOUSE DISTRICT 109,Incumbent,Won-General,209662.91
"COOK, BYRON",REPUBLICAN,TX,HOUSE DISTRICT 008,Incumbent,Won-General,208890.84
"ANCHIA, RAFAEL",DEMOCRATIC,TX,HOUSE DISTRICT 103,Incumbent,Won-General,206241.96
"BAILEY, KEVIN",DEMOCRATIC,TX,HOUSE DISTRICT 140,Incumbent,Won-General,206127.18
"CALLEGARI, BILL",REPUBLICAN,TX,HOUSE DISTRICT 132,Incumbent,Won-General,203512.38
"HANCOCK, KELLY",REPUBLICAN,TX,HOUSE DISTRICT 091,Open,Won-General,203277.12
"KOLKHORST, LOIS",REPUBLICAN,TX,HOUSE DISTRICT 013,Incumbent,Won-General,201971.76
"CRAFT, SHIRLEY",REPUBLICAN,TX,HOUSE DISTRICT 069,Challenger,Lost-General,200282.81
"FLEECE, JEFF",REPUBLICAN,TX,HOUSE DISTRICT 050,Challenger,Lost-General,199804.07
"EDWARDS, AL",DEMOCRATIC,TX,HOUSE DISTRICT 146,Incumbent,Won-Primary,199070.82
"MOODY, WILLIAM E (BILL)",DEMOCRATIC,TX,SUPREME COURT-WILLETT SEAT,Challenger,Lost-General,197911.76
"BONNEN, DENNIS H",REPUBLICAN,TX,HOUSE DISTRICT 025,Incumbent,Won-General,196366.40
"HILL, FRED",REPUBLICAN,TX,HOUSE DISTRICT 112,Incumbent,Won-General,195978.76
"MENENDEZ, JOSE ANTONIO",DEMOCRATIC,TX,HOUSE DISTRICT 124,Incumbent,Won-General,195324.35
"CRABB, JOE",REPUBLICAN,TX,HOUSE DISTRICT 127,Incumbent,Won-General,191726.36
"SCHOFIELD, MICHAEL",REPUBLICAN,TX,HOUSE DISTRICT 133,Open,Won-Primary,191703.52
"GUILLEN, RYAN",DEMOCRATIC,TX,HOUSE DISTRICT 031,Incumbent,Won-General,189895.84
"LAUBENBERG, JODIE",REPUBLICAN,TX,HOUSE DISTRICT 089,Incumbent,Won-General,189884.01
"HOCHBERG, SCOTT",DEMOCRATIC,TX,HOUSE DISTRICT 137,Incumbent,Won-General,189329.76
"ORR, ROB",REPUBLICAN,TX,HOUSE DISTRICT 058,Incumbent,Won-General,187622.21
"DAVIS, YVONNE",DEMOCRATIC,TX,HOUSE DISTRICT 111,Incumbent,Won-General,187405.75
