State,Year,Position,District,Candidate,Party,Actual Vote Share,Unrounded Actual Vote Share
GA,2018,State Representative,12,Eddie Lumsden,REP,100.0,100.0
GA,2018,State Representative,13,John Burnette II,DEM,33.44,33.44287647399961
GA,2018,State Representative,13,Katie Dempsey,REP,66.56,66.55712352600038
GA,2018,State Representative,15,Matthew Gambill,REP,100.0,100.0
GA,2018,State Representative,16,Trey Kelley,REP,100.0,100.0
GA,2018,State Representative,17,Ralph Meers,DEM,26.8,26.796091429555336
GA,2018,State Representative,17,Martin Momtahan,REP,73.2,73.20390857044467
GA,2018,State Representative,18,Pat Rhudy,DEM,25.79,25.78774617067834
GA,2018,State Representative,18,Kevin Cooke,REP,74.21,74.21225382932167
GA,2018,State Representative,19,Alison Feliciano,DEM,37.38,37.37927434090316
GA,2018,State Representative,19,Joseph Gullett,REP,62.62,62.62072565909684
GA,2018,State Representative,20,Lillian Burnaman,DEM,30.09,30.089738587592663
GA,2018,State Representative,20,Michael Caldwell,REP,69.91,69.91026141240734
GA,2018,State Representative,21,Melanie Whitfield,DEM,25.3,25.2954991722173
GA,2018,State Representative,21,Scot Turner,REP,74.7,74.7045008277827
GA,2018,State Representative,22,Charles Ravenscraft,DEM,24.11,24.108583541620526
GA,2018,State Representative,22,Wes Cantrell,REP,75.89,75.89141645837947
GA,2018,State Representative,23,Adam Wynn,DEM,25.15,25.147331200538815
GA,2018,State Representative,23,Mandi Ballinger,REP,74.85,74.85266879946118
GA,2018,State Representative,24,Sheri Smallwood Gilligan,REP,100.0,100.0
GA,2018,State Representative,25,Anita Holcomb Tucker,DEM,36.02,36.01587358335419
GA,2018,State Representative,25,Todd Jones,REP,63.98,63.984126416645815
GA,2018,State Representative,26,Marc Morris,REP,100.0,100.0
GA,2018,State Representative,27,Lee Hawkins,REP,100.0,100.0
GA,2018,State Representative,29,Nancy Stead,IND,32.08,32.081267890805
GA,2018,State Representative,29,Matt Dubnik,REP,67.92,67.918732109195
GA,2018,State Representative,30,Alana Watkins,DEM,27.18,27.17589774802191
GA,2018,State Representative,30,Emory Dunahoo Jr.,REP,72.82,72.82410225197809
GA,2018,State Representative,31,Tommy Benton,REP,100.0,100.0
GA,2018,State Representative,32,Alan Powell,REP,100.0,100.0
GA,2018,State Representative,33,Tom Mccall,REP,100.0,100.0
GA,2018,State Representative,34,Matt Southwell,DEM,42.33,42.32876130621258
GA,2018,State Representative,34,Bert Reeves,REP,57.67,57.671238693787416
GA,2018,State Representative,35,Salvatore Castellana,DEM,47.7,47.69598512682042
GA,2018,State Representative,35,Ed Setzler,REP,52.3,52.30401487317958
GA,2018,State Representative,36,Jen Slipakoff,DEM,34.18,34.17935142289874
GA,2018,State Representative,36,Ginny Ehrhart,REP,65.82,65.82064857710125
GA,2018,State Representative,37,Mary Frances Williams,DEM,50.37,50.365240890089936
GA,2018,State Representative,37,Sam Teasley,REP,49.63,49.63475910991006
GA,2018,State Representative,38,David Wilkerson,DEM,100.0,100.0
GA,2018,State Representative,39,Erica Thomas,DEM,83.23,83.23476343223737
GA,2018,State Representative,39,James Morrow Jr.,REP,16.77,16.76523656776263
GA,2018,State Representative,40,Erick E. Allen,DEM,54.68,54.678586336440794
GA,2018,State Representative,40,Matt Bentley,REP,45.32,45.321413663559206
GA,2018,State Representative,41,Michael Smith,DEM,70.61,70.61278809509407
GA,2018,State Representative,41,Deanna Harris,REP,29.39,29.387211904905936
GA,2018,State Representative,42,Teri Anulewicz,DEM,100.0,100.0
GA,2018,State Representative,43,Luisa Wakeman,DEM,48.44,48.44413012729844
GA,2018,State Representative,43,Sharon Cooper,REP,51.56,51.55586987270156
GA,2018,State Representative,44,Chinita Allen,DEM,44.63,44.631134729603
GA,2018,State Representative,44,Don L. Parsons,REP,55.37,55.368865270396995
GA,2018,State Representative,45,Essence Johnson,DEM,40.72,40.723051178357274
GA,2018,State Representative,45,Matt Dollar,REP,59.28,59.276948821642726
GA,2018,State Representative,46,KarÍN Sandiford,DEM,38.18,38.18439214298354
GA,2018,State Representative,46,John Carson,REP,61.82,61.81560785701645
GA,2018,State Representative,47,Andrea Nugent,DEM,38.36,38.35773017219129
GA,2018,State Representative,47,Jan Jones,REP,61.64,61.642269827808704
GA,2018,State Representative,48,Mary Robichaux,DEM,50.34,50.34007436292735
GA,2018,State Representative,48,Betty Price,REP,49.66,49.65992563707264
GA,2018,State Representative,49,Krishan A. Bralley,DEM,45.8,45.80115437769287
GA,2018,State Representative,49,Charles E. Martin,REP,54.2,54.19884562230713
GA,2018,State Representative,50,Angelika Kausche,DEM,50.73,50.72997743287432
GA,2018,State Representative,50,Kelly Stewart,REP,49.27,49.270022567125686
GA,2018,State Representative,51,Josh Mclaurin,DEM,51.57,51.572145855625976
GA,2018,State Representative,51,Alex B. Kaufman,REP,48.43,48.427854144374024
GA,2018,State Representative,52,Shea Roberts,DEM,47.72,47.72133959871709
GA,2018,State Representative,52,Deborah Silcox,REP,52.28,52.27866040128292
GA,2018,State Representative,53,Sheila Jones,DEM,100.0,100.0
GA,2018,State Representative,54,Betsy Holland,DEM,51.71,51.71462625574663
GA,2018,State Representative,54,Beth Beskin,REP,48.29,48.28537374425336
GA,2018,State Representative,55,Marie R. Metze,DEM,100.0,100.0
GA,2018,State Representative,56,Mable Thomas,DEM,100.0,100.0
GA,2018,State Representative,57,Pat Gardner,DEM,100.0,100.0
GA,2018,State Representative,58,Park Cannon,DEM,100.0,100.0
GA,2018,State Representative,59,David Dreyer,DEM,100.0,100.0
GA,2018,State Representative,60,Kim Schofield,DEM,100.0,100.0
GA,2018,State Representative,61,Roger Bruce,DEM,100.0,100.0
GA,2018,State Representative,62,William K. Boddie Jr.,DEM,100.0,100.0
GA,2018,State Representative,63,Debra Bazemore,DEM,100.0,100.0
GA,2018,State Representative,64,Derrick L. Jackson,DEM,100.0,100.0
GA,2018,State Representative,65,Sharon Beasley-Teague,DEM,100.0,100.0
GA,2018,State Representative,66,Kimberly Alexander,DEM,100.0,100.0
GA,2018,State Representative,67,Micah Gravley,REP,100.0,100.0
GA,2018,State Representative,68,J. Collins,REP,100.0,100.0
GA,2018,State Representative,69,Randy Nix,REP,100.0,100.0
GA,2018,State Representative,70,Lynn Smith,REP,100.0,100.0
GA,2018,State Representative,71,Tom Thomason,DEM,25.57,25.571725571725572
GA,2018,State Representative,71,David Stover,REP,74.43,74.42827442827443
GA,2018,State Representative,72,Josh Bonner,REP,100.0,100.0
GA,2018,State Representative,73,Karen Mathiak,REP,100.0,100.0
GA,2018,State Representative,74,Valencia Stovall,DEM,100.0,100.0
GA,2018,State Representative,75,Mike Glanton,DEM,100.0,100.0
GA,2018,State Representative,76,Sandra Givens Scott,DEM,100.0,100.0
GA,2018,State Representative,77,Rhonda Burnough,DEM,100.0,100.0
GA,2018,State Representative,78,Demetrius Douglas,DEM,100.0,100.0
GA,2018,State Representative,79,Michael S. Wilensky,DEM,53.83,53.8315088053308
GA,2018,State Representative,79,Ken Wright,REP,46.17,46.1684911946692
GA,2018,State Representative,80,Matthew Wilson,DEM,52.48,52.480494012600666
GA,2018,State Representative,80,Meagan Hanson,REP,47.52,47.51950598739934
GA,2018,State Representative,81,Scott Holcomb,DEM,64.09,64.08889896813697
GA,2018,State Representative,81,Ellen Diehl,REP,35.91,35.911101031863026
GA,2018,State Representative,82,Mary Margaret Oliver,DEM,100.0,100.0
GA,2018,State Representative,83,Becky Evans,DEM,100.0,100.0
GA,2018,State Representative,84,Renitta Shannon,DEM,100.0,100.0
GA,2018,State Representative,85,Karla Drenner,DEM,100.0,100.0
GA,2018,State Representative,86,Michele Henson,DEM,100.0,100.0
GA,2018,State Representative,87,Viola Davis,DEM,100.0,100.0
GA,2018,State Representative,88,Billy Mitchell,DEM,100.0,100.0
GA,2018,State Representative,89,Bee Nguyen,DEM,100.0,100.0
GA,2018,State Representative,90,Pam Stephenson,DEM,79.92,79.91946512688043
GA,2018,State Representative,90,Takosha Swan,REP,20.08,20.08053487311959
GA,2018,State Representative,91,Vernon Jones,DEM,100.0,100.0
GA,2018,State Representative,92,Doreen Carter,DEM,100.0,100.0
GA,2018,State Representative,93,Darshun Kendrick,DEM,100.0,100.0
GA,2018,State Representative,94,Karen Bennett,DEM,100.0,100.0
GA,2018,State Representative,95,Beth Moore,DEM,51.4,51.399566750201764
GA,2018,State Representative,95,Scott Hilton,REP,48.6,48.60043324979824
GA,2018,State Representative,96,Pedro Marin,DEM,100.0,100.0
GA,2018,State Representative,97,Aisha Yaqoob,DEM,44.14,44.13633737723859
GA,2018,State Representative,97,Bonnie Rich,REP,55.86,55.86366262276141
GA,2018,State Representative,98,David Clark,REP,100.0,100.0
GA,2018,State Representative,99,Brenda Lopez Romero,DEM,100.0,100.0
GA,2018,State Representative,100,Dewey L. Mcclain,DEM,100.0,100.0
GA,2018,State Representative,101,Sam Park,DEM,58.81,58.80632248794006
GA,2018,State Representative,101,Valerie Clark,REP,41.19,41.19367751205994
GA,2018,State Representative,102,Gregg Kennard,DEM,51.41,51.414043583535104
GA,2018,State Representative,102,Paula Hastings,REP,48.59,48.585956416464896
GA,2018,State Representative,103,Timothy Barr,REP,100.0,100.0
GA,2018,State Representative,104,Andrea Stephenson,DEM,46.63,46.63212435233161
GA,2018,State Representative,104,Chuck Efstration,REP,53.37,53.36787564766839
GA,2018,State Representative,105,Donna Mcleod,DEM,58.37,58.369640457673356
GA,2018,State Representative,105,Donna Sheldon,REP,41.63,41.63035954232664
GA,2018,State Representative,106,Brett Harrell,REP,100.0,100.0
GA,2018,State Representative,107,Shelly Hutchinson,DEM,58.79,58.79152077221539
GA,2018,State Representative,107,Janet Mihoci,REP,41.21,41.20847922778461
GA,2018,State Representative,108,Jasmine Clark,DEM,50.68,50.68027210884354
GA,2018,State Representative,108,Clay Cox,REP,49.32,49.31972789115646
GA,2018,State Representative,109,Regina Lewis-Ward,DEM,48.46,48.45993601666543
GA,2018,State Representative,109,Dale Rutledge,REP,51.54,51.54006398333457
GA,2018,State Representative,110,Andy Welch,REP,100.0,100.0
GA,2018,State Representative,111,El-Mahdi Holly,DEM,56.59,56.58651149747617
GA,2018,State Representative,111,Geoff Cauble,REP,43.41,43.41348850252383
GA,2018,State Representative,112,Dave Belton,REP,100.0,100.0
GA,2018,State Representative,113,Pam Dickerson,DEM,100.0,100.0
GA,2018,State Representative,114,Tom Kirby,REP,100.0,100.0
GA,2018,State Representative,115,Bruce Williamson,REP,100.0,100.0
GA,2018,State Representative,116,Terry England,REP,100.0,100.0
GA,2018,State Representative,117,Deborah Gonzalez,DEM,46.45,46.44862094215279
GA,2018,State Representative,117,Houston Gaines,REP,53.55,53.55137905784721
GA,2018,State Representative,118,Spencer Frye,DEM,100.0,100.0
GA,2018,State Representative,119,Jonathan Wallace,DEM,47.22,47.21551553532555
GA,2018,State Representative,119,Marcus A. Wiedower,REP,52.78,52.78448446467445
GA,2018,State Representative,120,Charles Hogg,DEM,31.61,31.6119748990767
GA,2018,State Representative,120,Trey Rhodes,REP,68.39,68.3880251009233
GA,2018,State Representative,121,Barry Fleming,REP,100.0,100.0
GA,2018,State Representative,122,Jodi Lott,REP,100.0,100.0
GA,2018,State Representative,123,Scott Richard,DEM,33.14,33.141642705338164
GA,2018,State Representative,123,Mark Newton,REP,66.86,66.85835729466183
GA,2018,State Representative,124,Henry Howard,DEM,100.0,100.0
GA,2018,State Representative,125,Sheila Clark Nelson,DEM,100.0,100.0
GA,2018,State Representative,126,Gloria Frazier,DEM,69.53,69.53099376844867
GA,2018,State Representative,126,William Harris,REP,30.47,30.469006231551326
GA,2018,State Representative,127,Brian L. Prince,DEM,100.0,100.0
GA,2018,State Representative,128,Mack Jackson,DEM,57.01,57.01313359326904
GA,2018,State Representative,128,Jackson Williams,REP,42.99,42.98686640673097
GA,2018,State Representative,129,Susan Holmes,REP,100.0,100.0
GA,2018,State Representative,130,David Knight,REP,100.0,100.0
GA,2018,State Representative,131,Chris Benton,DEM,26.25,26.250395337279176
GA,2018,State Representative,131,Ken Pullin,REP,73.75,73.74960466272083
GA,2018,State Representative,132,Bob Trammell Jr.,DEM,52.2,52.19557952746673
GA,2018,State Representative,132,Leonard Gomez,REP,47.8,47.80442047253327
GA,2018,State Representative,133,Vance Smith,REP,100.0,100.0
GA,2018,State Representative,134,Richard H. Smith,REP,100.0,100.0
GA,2018,State Representative,135,Calvin Smyre,DEM,100.0,100.0
GA,2018,State Representative,136,Carolyn Hugley,DEM,100.0,100.0
GA,2018,State Representative,137,Debbie G. Buckner,DEM,100.0,100.0
GA,2018,State Representative,138,Bardin Hooks,DEM,48.21,48.20523220442101
GA,2018,State Representative,138,Mike Cheokas,REP,51.79,51.79476779557899
GA,2018,State Representative,139,Patty Bentley,DEM,100.0,100.0
GA,2018,State Representative,140,Robert Dickey,REP,100.0,100.0
GA,2018,State Representative,141,Dale Washburn,REP,100.0,100.0
GA,2018,State Representative,142,Miriam Paris,DEM,100.0,100.0
GA,2018,State Representative,143,James Beverly,DEM,100.0,100.0
GA,2018,State Representative,144,Jessica Walden,DEM,34.62,34.61962513781698
GA,2018,State Representative,144,Danny Mathis,REP,65.38,65.38037486218302
GA,2018,State Representative,145,Ricky A. Williams,REP,100.0,100.0
GA,2018,State Representative,146,Shaw Blackmon,REP,100.0,100.0
GA,2018,State Representative,147,Fenika Miller,DEM,45.85,45.85338865836791
GA,2018,State Representative,147,Heath Clark,REP,54.15,54.14661134163209
GA,2018,State Representative,148,Joshua Deriso,DEM,30.55,30.54762949956102
GA,2018,State Representative,148,Noel Williams Jr.,REP,69.45,69.45237050043899
GA,2018,State Representative,149,Jimmy Pruett,REP,100.0,100.0
GA,2018,State Representative,150,Matt Hatchett,REP,100.0,100.0
GA,2018,State Representative,151,Joyce Barlow,DEM,46.47,46.46855077556348
GA,2018,State Representative,151,Gerald Greene,REP,53.53,53.53144922443652
GA,2018,State Representative,152,Marcus Batten,DEM,25.96,25.9590050462198
GA,2018,State Representative,152,Ed Rynders,REP,74.04,74.0409949537802
GA,2018,State Representative,153,Camia Whitaker Hopson,DEM,65.47,65.47492992837122
GA,2018,State Representative,153,Tracy Taylor,REP,34.53,34.525070071628775
GA,2018,State Representative,154,Winfred Dukes,DEM,100.0,100.0
GA,2018,State Representative,155,Clay Pirkle,REP,100.0,100.0
GA,2018,State Representative,156,Greg Morris,REP,100.0,100.0
GA,2018,State Representative,157,William Werkheiser,REP,100.0,100.0
GA,2018,State Representative,158,Butch Parrish,REP,100.0,100.0
GA,2018,State Representative,159,Jon G. Burns,REP,100.0,100.0
GA,2018,State Representative,160,Jan Tankersley,REP,100.0,100.0
GA,2018,State Representative,161,Adam Bridges,DEM,36.55,36.55436509553102
GA,2018,State Representative,161,Bill Hitchens,REP,63.45,63.445634904468974
GA,2018,State Representative,162,Carl Wayne Gilliard,DEM,100.0,100.0
GA,2018,State Representative,163,J. Craig Gordon,DEM,100.0,100.0
GA,2018,State Representative,164,Alicia Scott,DEM,47.54,47.54107616735362
GA,2018,State Representative,164,Ron Stephens,REP,52.46,52.45892383264638
GA,2018,State Representative,165,Mickey Stephens,DEM,100.0,100.0
GA,2018,State Representative,166,Jesse Petrea,REP,100.0,100.0
GA,2018,State Representative,167,Cedric Z. King,DEM,32.12,32.11966836479872
GA,2018,State Representative,167,Jeff Jones,REP,67.88,67.88033163520127
GA,2018,State Representative,168,Al Williams,DEM,100.0,100.0
GA,2018,State Representative,169,Dominic Lariccia,REP,100.0,100.0
GA,2018,State Representative,170,Penny Houston,REP,100.0,100.0
GA,2018,State Representative,171,Jay Powell,REP,100.0,100.0
GA,2018,State Representative,172,Sam Watson,REP,100.0,100.0
GA,2018,State Representative,173,Twitty Titus,DEM,38.98,38.97832491582491
GA,2018,State Representative,173,Darlene Taylor,REP,61.02,61.02167508417509
GA,2018,State Representative,174,John Corbett,REP,100.0,100.0
GA,2018,State Representative,175,Treva Gear,DEM,28.49,28.489116517285527
GA,2018,State Representative,175,John Lahood,REP,71.51,71.51088348271448
GA,2018,State Representative,176,Jason Shaw,REP,100.0,100.0
GA,2018,State Representative,177,Dexter L. Sharper,DEM,100.0,100.0
GA,2018,State Representative,178,Greg Odriscoll,DEM,10.57,10.572950641443791
GA,2018,State Representative,178,Steven Meeks,REP,89.43,89.4270493585562
GA,2018,State Representative,179,Julie Jordan,DEM,42.24,42.24250936329588
GA,2018,State Representative,179,Don Hogan,REP,57.76,57.75749063670412
GA,2018,State Representative,180,Steven Sainz,REP,100.0,100.0
GA,2018,State Senator,1,Sandra Workman,DEM,39.18,39.17842872337368
GA,2018,State Senator,1,Ben Watson,REP,60.82,60.82157127662633
GA,2018,State Senator,2,Lester G. Jackson III,DEM,100.0,100.0
GA,2018,State Senator,3,Jerrold Dagen,DEM,32.1,32.10055362430797
GA,2018,State Senator,3,William T. Ligon Jr.,REP,67.9,67.89944637569204
GA,2018,State Senator,4,Jack Hill,REP,100.0,100.0
GA,2018,State Senator,5,Sheikh Rahman,DEM,100.0,100.0
GA,2018,State Senator,6,Jen Jordan,DEM,58.42,58.42138207310966
GA,2018,State Senator,6,Leah Aldridge,REP,41.58,41.57861792689034
GA,2018,State Senator,7,Tyler Harper,REP,100.0,100.0
GA,2018,State Senator,8,Ellis Black,REP,94.87,94.86923398522785
GA,2018,State Senator,8,E. Black,REP,5.13,5.1307660147721466
GA,2018,State Senator,9,Cheryle R. Moses,DEM,48.07,48.067360685854254
GA,2018,State Senator,9,P. K. Martin IV,REP,51.93,51.932639314145746
GA,2018,State Senator,10,Emanuel Jones,DEM,100.0,100.0
GA,2018,State Senator,11,Dean Burke,REP,100.0,100.0
GA,2018,State Senator,12,Freddie Powell Sims,DEM,100.0,100.0
GA,2018,State Senator,13,Greg Kirk,REP,100.0,100.0
GA,2018,State Senator,14,Rachel A. Kinsey,DEM,28.96,28.955245052840628
GA,2018,State Senator,14,Bruce Thompson,REP,71.04,71.04475494715938
GA,2018,State Senator,15,Ed Harbison,DEM,100.0,100.0
GA,2018,State Senator,16,Bill Lightle,DEM,31.85,31.845142776617685
GA,2018,State Senator,16,Marty Harbin,REP,49.09,49.09491538451684
GA,2018,State Senator,16,M. Harbin,REP,19.06,19.059941838865473
GA,2018,State Senator,17,Phyllis D. Hatcher,DEM,45.53,45.532447761926974
GA,2018,State Senator,17,Brian Strickland,REP,54.47,54.467552238073026
GA,2018,State Senator,18,John F. Kennedy,REP,100.0,100.0
GA,2018,State Senator,19,Blake Tillery,REP,100.0,100.0
GA,2018,State Senator,20,Larry Walker,REP,100.0,100.0
GA,2018,State Senator,21,Nicole B. Nash,DEM,29.62,29.61637413526957
GA,2018,State Senator,21,Brandon Beach,REP,70.38,70.38362586473043
GA,2018,State Senator,22,Harold V. Jones II,DEM,100.0,100.0
GA,2018,State Senator,23,Jesse Stone,REP,100.0,100.0
GA,2018,State Senator,24,Lee Anderson,REP,100.0,100.0
GA,2018,State Senator,25,Burt Jones,REP,100.0,100.0
GA,2018,State Senator,26,David E. Lucas Sr.,DEM,100.0,100.0
GA,2018,State Senator,27,Steve Smith,DEM,27.36,27.362899589825922
GA,2018,State Senator,27,Greg Dolezal,REP,72.64,72.63710041017407
GA,2018,State Senator,28,Matt Brass,REP,100.0,100.0
GA,2018,State Senator,29,Valerie Haskins,DEM,37.01,37.00739091972719
GA,2018,State Senator,29,Randy Robertson,REP,62.99,62.99260908027281
GA,2018,State Senator,30,Michael Dugan,REP,100.0,100.0
GA,2018,State Senator,31,Bill Heath,REP,100.0,100.0
GA,2018,State Senator,32,Christine Triebsch,DEM,42.63,42.63113348813993
GA,2018,State Senator,32,Kay Kirkpatrick,REP,57.37,57.36886651186006
GA,2018,State Senator,33,Michael Rhett,DEM,100.0,100.0
GA,2018,State Senator,34,Valencia Seay,DEM,82.86,82.85965815657028
GA,2018,State Senator,34,Tommy Smith,REP,17.14,17.14034184342973
GA,2018,State Senator,35,Donzella James,DEM,100.0,100.0
GA,2018,State Senator,36,Nan Orrock,DEM,100.0,100.0
GA,2018,State Senator,37,Andy Clark,DEM,41.09,41.08579903236002
GA,2018,State Senator,37,Lindsey Tippins,REP,58.91,58.914200967639985
GA,2018,State Senator,38,Horacena Tate,DEM,82.85,82.84885654609072
GA,2018,State Senator,38,Travis Klavohn,REP,17.15,17.151143453909295
GA,2018,State Senator,39,Nikema Williams,DEM,100.0,100.0
GA,2018,State Senator,40,Sally Harrell,DEM,54.76,54.75547474531405
GA,2018,State Senator,40,Fran Millar,REP,45.24,45.24452525468595
GA,2018,State Senator,41,Steve Henson,DEM,100.0,100.0
GA,2018,State Senator,42,Elena Parent,DEM,100.0,100.0
GA,2018,State Senator,43,Tonya P. Anderson,DEM,100.0,100.0
GA,2018,State Senator,44,Gail Davenport,DEM,100.0,100.0
GA,2018,State Senator,45,Jana Rodgers,DEM,41.96,41.96070726915521
GA,2018,State Senator,45,Renee S. Unterman,REP,58.04,58.03929273084479
GA,2018,State Senator,46,Marisue Hilliard,DEM,39.62,39.622067216233354
GA,2018,State Senator,46,Bill Cowsert,REP,60.38,60.37793278376664
GA,2018,State Senator,47,Dawn Johnson,DEM,33.54,33.53505300557497
GA,2018,State Senator,47,Frank Ginn,REP,66.46,66.46494699442502
GA,2018,State Senator,48,Zahra Karinshak,DEM,53.58,53.57520786092215
GA,2018,State Senator,48,Matt Reeves,REP,46.42,46.42479213907785
GA,2018,State Senator,49,Cecil T. Miller,REP,100.0,100.0
GA,2018,State Senator,50,John K. Wilkinson,REP,100.0,100.0
GA,2018,State Senator,51,Steve Gooch,REP,100.0,100.0
GA,2018,State Senator,52,Evan Ross,DEM,24.22,24.221564361379606
GA,2018,State Senator,52,Chuck Hufstetler,REP,75.78,75.7784356386204
GA,2018,State Senator,53,Jeff Mullis,REP,100.0,100.0
GA,2018,State Senator,54,Michael S. Morgan,DEM,20.35,20.346965061986797
GA,2018,State Senator,54,Chuck Payne,REP,79.65,79.6530349380132
GA,2018,State Senator,55,Gloria S. Butler,DEM,81.56,81.55786238000454
GA,2018,State Senator,55,Annette Davis Jackson,REP,18.44,18.442137619995464
GA,2018,State Senator,56,Ellyn Jeager,DEM,47.51,47.51052948255114
GA,2018,State Senator,56,John Albers,REP,52.49,52.48947051744886
GA,2018,U.S. Representative,1,Lisa M. Ring,DEM,42.26,42.261342013618794
GA,2018,U.S. Representative,1,Earl L. Carter,REP,57.74,57.738657986381206
GA,2018,U.S. Representative,2,Sanford Bishop,DEM,59.65,59.649344812389
GA,2018,U.S. Representative,2,Herman West Jr.,REP,40.35,40.350655187611
GA,2018,U.S. Representative,3,Chuck Enderlin,DEM,34.47,34.47369678436619
GA,2018,U.S. Representative,3,Drew Ferguson,REP,65.53,65.5263032156338
GA,2018,U.S. Representative,4,Henry C. Johnson Jr.,DEM,78.85,78.84691959045598
GA,2018,U.S. Representative,4,Joe Profit,REP,21.15,21.153080409544025
GA,2018,U.S. Representative,5,John R. Lewis,DEM,100.0,100.0
GA,2018,U.S. Representative,6,Lucy Mcbath,DEM,50.51,50.51480376260985
GA,2018,U.S. Representative,6,Karen Handel,REP,49.49,49.48519623739014
GA,2018,U.S. Representative,7,Carolyn Bourdeaux,DEM,49.93,49.92529622986653
GA,2018,U.S. Representative,7,Rob Woodall,REP,50.07,50.07470377013347
GA,2018,U.S. Representative,8,Austin Scott,REP,100.0,100.0
GA,2018,U.S. Representative,9,Josh Mccall,DEM,20.49,20.494527077958615
GA,2018,U.S. Representative,9,Doug Collins,REP,79.51,79.50547292204139
GA,2018,U.S. Representative,10,Tabitha A. Johnson-Green,DEM,37.11,37.108031776966655
GA,2018,U.S. Representative,10,Jody Hice,REP,62.89,62.891968223033345
GA,2018,U.S. Representative,11,Flynn D. Broady Jr.,DEM,38.21,38.20860436658723
GA,2018,U.S. Representative,11,Barry Loudermilk,REP,61.79,61.79139563341276
GA,2018,U.S. Representative,12,Francys Johnson,DEM,40.52,40.52193908714554
GA,2018,U.S. Representative,12,Rick W. Allen,REP,59.48,59.47806091285446
GA,2018,U.S. Representative,13,David Scott,DEM,76.18,76.18437987552788
GA,2018,U.S. Representative,13,David Callahan,REP,23.82,23.81562012447212
GA,2018,U.S. Representative,14,Steven Lamar Foster,DEM,23.5,23.498197837404884
GA,2018,U.S. Representative,14,Tom Graves,REP,76.5,76.50180216259511
