office,candidate,party,state,incumbency,result,total money,district
Representative Third Middlesex,Sonny Parente,REP,MA,Open,Lost-General,47033.2,nan
Representative Fourth Norfolk,James Murphy,DEM,MA,Incumbent,Won-General,46850.58,nan
Representative Second Hampshire,John Scibak,DEM,MA,Incumbent,Won-General,46136.64,nan
Representative Eighth Essex,Lori Ehrlich,DEM,MA,Incumbent,Won-General,45877.67,nan
Senator Second Middlesex,Patricia Jehlen,DEM,MA,Incumbent,Won-General,45753.95,nan
Representative Fifth Bristol,Patricia Haddad,DEM,MA,Incumbent,Won-General,45641.93,nan
Representative Second Franklin,Christopher Donelan,DEM,MA,Incumbent,Won-General,45120.0,nan
Representative Twenty-Fourth Middlesex,William Brownsberger,DEM,MA,Incumbent,Won-General,44366.29,nan
Representative Fourteenth Worcester,James Oday,DEM,MA,Incumbent,Won-General,44051.65,nan
Representative Thirty-First Middlesex,Chad Riley,IND,MA,Open,Lost-General,43373.0,nan
Senator Second Worcester,John Lebeaux,REP,MA,Open,Lost-General,43138.45,nan
Representative Second Berkshire,Denis Guyer,DEM,MA,Incumbent,Won-General,43120.0,nan
Representative Fourth Essex,Donald Bumiller,DEM,MA,Challenger,Lost-General,42999.0,nan
Representative Second Norfolk,Arthur Stephen Tobin,DEM,MA,Incumbent,Won-General,42686.08,nan
Representative Fourth Worcester,Dennis Rosa,DEM,MA,Open,Won-General,42681.29,nan
Representative Eighteenth Suffolk,Michael Moran,DEM,MA,Incumbent,Won-General,42500.06,nan
Representative Tenth Worcester,John Fernandes,DEM,MA,Incumbent,Won-General,42212.9,nan
Representative Ninth Plymouth,Michael Brady,DEM,MA,Open,Won-General,42153.78,nan
Representative First Hampden,Todd Smola,REP,MA,Incumbent,Won-General,41991.0,nan
Representative Fourth Hampden,Donald Humason Jr.,REP,MA,Incumbent,Won-General,40448.56,nan
Executive Councilor District 008,Thomas Merrigan,DEM,MA,Incumbent,Won-General,40190.0,nan
Representative First Norfolk,Bruce Ayers,DEM,MA,Incumbent,Won-General,40134.25,nan
Representative Thirteenth Middlesex,Susan Pope,REP,MA,Challenger,Lost-General,39627.34,nan
Representative First Middlesex,Virginia Wood,DEM,MA,Challenger,Lost-General,39269.92,nan
Representative Seventh Bristol,Kevin Aguiar,DEM,MA,Incumbent,Won-General,39253.23,nan
Executive Councilor District 002,Kelly Timilty,DEM,MA,Incumbent,Won-General,39125.0,nan
Representative Eighteenth Middlesex,Kevin Murphy,DEM,MA,Incumbent,Won-General,38657.32,nan
Representative Twenty-Fifth Middlesex,Alice Wolf,DEM,MA,Incumbent,Won-General,37932.63,nan
Executive Councilor District 004,Christopher Iannella Jr.,DEM,MA,Incumbent,Won-General,36978.38,nan
Senator Bristol And Norfolk,Jon Rockwood Sr.,REP,MA,Challenger,Lost-General,35663.05,nan
Representative Tenth Bristol,William Straus,DEM,MA,Incumbent,Won-General,34929.37,nan
Representative Fifteenth Middlesex,Jay Kaufman,DEM,MA,Incumbent,Won-General,34856.17,nan
Representative Eighth Plymouth,David Flynn,DEM,MA,Incumbent,Won-General,34600.0,nan
Representative Thirty-First Middlesex,Brian Oconnor,REP,MA,Open,Lost-General,34299.82,nan
Representative Eighth Norfolk,Louis Kafka,DEM,MA,Incumbent,Won-General,33968.95,nan
Representative Seventh Plymouth,Allen McCarthy,DEM,MA,Incumbent,Won-General,32996.84,nan
Representative Tenth Hampden,Cheryl Coakley-Rivera,DEM,MA,Incumbent,Won-General,32206.0,nan
Representative Second Bristol,George Ross,REP,MA,Open,Lost-General,31870.82,nan
Representative Second Plymouth,Susan Gifford,REP,MA,Incumbent,Won-General,31696.0,nan
Representative Fourteenth Bristol,Elizabeth Poirier,REP,MA,Incumbent,Won-General,31662.14,nan
Representative Eighteenth Essex,Lawrence Brennan,REP,MA,Challenger,Lost-General,31378.22,nan
Representative Eleventh Plymouth,Geraldine Creedon,DEM,MA,Incumbent,Won-General,31225.0,nan
Representative Sixth Suffolk,Willie Mae Allen,DEM,MA,Incumbent,Won-General,30622.23,nan
Representative Eleventh Bristol,Robert Koczera,DEM,MA,Incumbent,Won-General,30192.6,nan
Representative First Worcester,Lewis Evangelidis,REP,MA,Incumbent,Won-General,30079.8,nan
Representative Thirty-Seventh Middlesex,Kurt Hayes,REP,MA,Open,Lost-General,28746.45,nan
Representative Third Worcester,Stephen Dinatale,DEM,MA,Incumbent,Won-General,28462.0,nan
Representative Twenty-Second Middlesex,William Greene Jr.,DEM,MA,Incumbent,Won-General,28189.0,nan
Representative Second Worcester,Robert Rice,DEM,MA,Incumbent,Won-General,27972.26,nan
Representative Fourth Essex,Bradford Hill,REP,MA,Incumbent,Won-General,27740.0,nan
Representative Third Berkshire,Christopher Speranzo,DEM,MA,Incumbent,Won-General,27664.0,nan
Representative Tenth Plymouth,Christine Canavan,DEM,MA,Incumbent,Won-General,27348.12,nan
Representative Eleventh Hampden,Benjamin Swan,DEM,MA,Incumbent,Won-General,27062.5,nan
Representative Twenty-First Middlesex,Charles Murphy,DEM,MA,Incumbent,Won-General,26935.0,nan
Representative Fifth Barnstable,Glen Pare,DEM,MA,Challenger,Lost-General,26541.66,nan
Representative Second Hampden,Brian Michael Ashe,DEM,MA,Incumbent,Won-General,25723.29,nan
Representative Eighth Worcester,Kevin Kuros,REP,MA,Challenger,Lost-General,25384.11,nan
Representative First Middlesex,Robert Hargraves,REP,MA,Incumbent,Won-General,25322.46,nan
Representative Ninth Hampden,Sean Curran,DEM,MA,Incumbent,Won-General,25287.19,nan
Representative Ninth Plymouth,Lawrence Novak,REP,MA,Open,Lost-General,25225.36,nan
Senator First Middlesex And Norfolk,Cynthia Stone Creem,DEM,MA,Incumbent,Won-General,24615.0,nan
Representative Fifteenth Norfolk,Frank Smizik,DEM,MA,Incumbent,Won-General,24335.0,nan
Representative Twelfth Essex,Joyce Spiliotis,DEM,MA,Incumbent,Won-General,23195.0,nan
Representative Sixth Plymouth,Daniel Webster,REP,MA,Incumbent,Won-General,22750.0,nan
