State,Year,Position,District,Candidate,Party,Actual Vote Share,Unrounded Actual Vote Share
ID,2018,State Representative,29B,Idaho Lorax Carta,LIB,3.87,3.872848417545808
ID,2018,State Representative,29B,Kevin James Brown,REP,42.16,42.16407551360356
ID,2018,State Representative,2A,Maria Andrews,DEM,27.66,27.655668808270136
ID,2018,State Representative,2A,Vito Barbieri,REP,72.34,72.34433119172988
ID,2018,State Representative,2B,Alana Brooks,DEM,24.89,24.892093388267607
ID,2018,State Representative,2B,John Green,REP,75.11,75.10790661173239
ID,2018,State Representative,30A,Pat Tucker,DEM,27.41,27.413366336633665
ID,2018,State Representative,30A,Gary L. Marshall,REP,72.59,72.58663366336634
ID,2018,State Representative,30B,Wendy Horman,REP,100.0,100.0
ID,2018,State Representative,31A,Neil A. Anderson,REP,100.0,100.0
ID,2018,State Representative,31B,Julianne Young,REP,100.0,100.0
ID,2018,State Representative,32A,Marc Gibbs,REP,100.0,100.0
ID,2018,State Representative,32B,Chad Christensen,REP,80.84,80.84327648049191
ID,2018,State Representative,33A,Jim De Angelis,DEM,42.94,42.93680297397769
ID,2018,State Representative,33A,Barbara Ehardt,REP,57.06,57.06319702602231
ID,2018,State Representative,33B,George Morrison,DEM,41.17,41.166329360617645
ID,2018,State Representative,33B,Bryan N. Zollinger,REP,58.83,58.833670639382355
ID,2018,State Representative,34A,Doug Ricks,REP,100.0,100.0
ID,2018,State Representative,34B,Britt Raybould,REP,100.0,100.0
ID,2018,State Representative,35A,Jerald Raymond,REP,100.0,100.0
ID,2018,State Representative,35B,Jerry L. Browne,DEM,16.31,16.314408067412625
ID,2018,State Representative,35B,Rod Furniss,REP,83.69,83.68559193258737
ID,2018,State Representative,3A,Don Mendive,REP,100.0,100.0
ID,2018,State Representative,3B,Dan Hanks,DEM,29.24,29.23576276187666
ID,2018,State Representative,3B,Tony Wisniewski,REP,70.76,70.76423723812334
ID,2018,State Representative,4A,Rebecca Schroeder,DEM,43.3,43.301722258556794
ID,2018,State Representative,4A,Jim Addis,REP,56.7,56.698277741443206
ID,2018,State Representative,4B,Shem Hanks,DEM,37.42,37.415822611552144
ID,2018,State Representative,4B,Paul Amador,REP,62.58,62.58417738844785
ID,2018,State Representative,5A,Margaret R. Gannon,DEM,48.98,48.97569534031684
ID,2018,State Representative,5A,Bill Goesling,REP,51.02,51.02430465968316
ID,2018,State Representative,5B,Laurene Sorensen,DEM,46.27,46.2654958677686
ID,2018,State Representative,5B,Caroline Nilsson Troy,REP,53.73,53.73450413223141
ID,2018,State Representative,6A,Rick Tousley,IND,40.97,40.96635926743733
ID,2018,State Representative,6A,Thyra K. Stevenson,REP,59.03,59.033640732562674
ID,2018,State Representative,6B,John Rusche,DEM,41.28,41.278556102486434
ID,2018,State Representative,6B,Mike Kingsley,REP,58.72,58.721443897513566
ID,2018,State Representative,7A,Priscilla Giddings,REP,100.0,100.0
ID,2018,State Representative,7B,Paul E. Shepherd,REP,100.0,100.0
ID,2018,State Representative,8A,Jon W. Glick,DEM,29.93,29.925961308812994
ID,2018,State Representative,8A,Terry F. Gestrin,REP,70.07,70.07403869118701
ID,2018,State Representative,8B,Dorothy Moon,REP,100.0,100.0
ID,2018,State Representative,9A,Allen Schmid,DEM,24.12,24.115614200439836
ID,2018,State Representative,9A,Ryan Kerby,REP,75.88,75.88438579956016
ID,2018,State Representative,9B,Chase Van Weerdhuizen,DEM,25.06,25.062798291886462
ID,2018,State Representative,9B,Judy Boyle,REP,74.94,74.93720170811355
ID,2018,State Senator,1,Vera Gadman,DEM,25.68,25.681499298456608
ID,2018,State Senator,1,Jim Woodward,REP,74.32,74.3185007015434
ID,2018,State Senator,2,Dale R. Broadsword,DEM,24.75,24.750373836283828
ID,2018,State Senator,2,Shon Luoma,LIB,2.37,2.368433746563118
ID,2018,State Senator,2,Steve Vick,REP,72.88,72.88119241715304
ID,2018,State Senator,3,Patrick Lippert,DEM,27.8,27.797791295104236
ID,2018,State Senator,3,Don Cheatham,REP,72.2,72.20220870489577
ID,2018,State Senator,4,Cory Jane English,DEM,42.28,42.27957223919685
ID,2018,State Senator,4,Mary Souza,REP,57.72,57.72042776080314
ID,2018,State Senator,5,David Nelson,DEM,56.06,56.05787523780915
ID,2018,State Senator,5,Dan Foreman,REP,43.94,43.94212476219085
ID,2018,State Senator,6,Daniel Johnson,REP,100.0,100.0
ID,2018,State Senator,7,Carl G. Crabtree,REP,100.0,100.0
ID,2018,State Senator,8,Bill Sifford,IND,22.66,22.659900517509925
ID,2018,State Senator,8,Steven P. Thayn,REP,70.98,70.98427372757877
ID,2018,State Senator,9,Abby Lee,REP,100.0,100.0
ID,2018,State Senator,10,Evangeline Beechler,DEM,38.54,38.54319777886657
ID,2018,State Senator,10,Jim Rice,REP,61.46,61.45680222113343
ID,2018,State Senator,11,Edward Savala,DEM,22.21,22.2066018107181
ID,2018,State Senator,11,Patti Anne Lodge,REP,77.79,77.7933981892819
ID,2018,State Senator,12,Chelle Gluch,DEM,34.91,34.9112002291607
ID,2018,State Senator,12,Todd Lakey,REP,65.09,65.0887997708393
ID,2018,State Senator,13,Jeff C. Agenbroad,REP,100.0,100.0
ID,2018,State Senator,14,Richard Boozel,DEM,30.44,30.440705423217114
ID,2018,State Senator,14,C. Scott Grow,REP,69.56,69.55929457678288
ID,2018,State Senator,15,Jim Bratnober,DEM,49.98,49.98323085522639
ID,2018,State Senator,15,Fred S. Martin,REP,50.02,50.01676914477362
ID,2018,State Senator,16,Grant Burgoyne,DEM,65.21,65.21450798347192
ID,2018,State Senator,16,Leejoe Lay,REP,34.79,34.78549201652808
ID,2018,State Senator,17,Maryanne Jordan,DEM,69.68,69.68482746247234
ID,2018,State Senator,17,David L. Dehaas,REP,30.32,30.31517253752766
ID,2018,State Senator,18,Janie Ward-Engelking,DEM,100.0,100.0
ID,2018,State Senator,19,Cherie Buckner-Webb,DEM,74.59,74.59315710089703
ID,2018,State Senator,19,Aaron J. Tribble,REP,25.41,25.406842899102962
ID,2018,State Senator,20,Chuck Winder,REP,100.0,100.0
ID,2018,State Senator,21,Dawn C. Pierce,DEM,36.61,36.61361710142198
ID,2018,State Senator,21,Joe Evans,LIB,5.59,5.589038515867784
ID,2018,State Senator,21,Clifford R. Cliff Bayer,REP,57.8,57.797344382710236
ID,2018,State Senator,22,Mik W. Lose,DEM,30.64,30.641191709844563
ID,2018,State Senator,22,Lori Denhartog,REP,69.36,69.35880829015544
ID,2018,State Senator,23,Bert Brackett,REP,100.0,100.0
ID,2018,State Senator,24,Lee Heider,REP,99.37,99.3687582438289
ID,2018,State Senator,25,Jim Patrick,REP,100.0,100.0
ID,2018,State Senator,26,Michelle Stennett,DEM,59.86,59.8624125252046
ID,2018,State Senator,26,Julie Lynn,REP,40.14,40.1375874747954
ID,2018,State Senator,27,Kelley Arthur Anthon,REP,100.0,100.0
ID,2018,State Senator,28,Mike Saville,DEM,38.12,38.12188298260552
ID,2018,State Senator,28,Jim Guthrie,REP,61.88,61.87811701739447
ID,2018,State Senator,29,Mark Nye,DEM,57.85,57.854565639744656
ID,2018,State Senator,29,Lance Kolbet,REP,42.15,42.145434360255344
ID,2018,State Senator,30,Dean M. Mortimer,REP,100.0,100.0
ID,2018,State Senator,31,Steve Bair,REP,100.0,100.0
ID,2018,State Senator,32,Mark Harris,REP,100.0,100.0
ID,2018,State Senator,33,Jerry Sehlke,DEM,40.51,40.510619069136915
ID,2018,State Senator,33,Dave Lent,REP,59.49,59.48938093086308
ID,2018,State Senator,34,Robert S. Nielsen,DEM,16.36,16.358513822856136
ID,2018,State Senator,34,Brent Hill,REP,83.64,83.64148617714386
ID,2018,State Senator,35,Van Burtenshaw,REP,100.0,100.0
ID,2018,State Treasurer,Statewide,Julie A. Ellsworth,REP,100.0,100.0
ID,2018,Superintendent Of Public Instruction,Statewide,Cindy Wilson,DEM,48.53,48.52987930526936
ID,2018,Superintendent Of Public Instruction,Statewide,Sherri Ybarra,REP,51.47,51.470120694730646
ID,2018,U.S. Representative,1,Cristina Mcneil,DEM,30.82,30.818339919943277
ID,2018,U.S. Representative,1,Gordon Counsil,IND,0.34,0.33510636606714206
ID,2018,U.S. Representative,1,Paul Farmer,IND,1.42,1.4240430869209957
ID,2018,U.S. Representative,1,Natalie M. Fleming,IND,1.97,1.9673986652974147
ID,2018,U.S. Representative,1,W. Scott Howard,LIB,1.73,1.7279915555739254
ID,2018,U.S. Representative,1,Russ Fulcher,REP,62.69,62.686828157837006
ID,2018,U.S. Representative,2,Aaron Swisher,DEM,39.33,39.32978211683383
ID,2018,U.S. Representative,2,Mike Simpson,REP,60.67,60.67021788316617
