State,Year,Position,District,Candidate,Party,Actual Vote Share,Unrounded Actual Vote Share
SC,2018,State Representative,97,Patsy G. Knight,DEM,46.1,46.09554272999096
SC,2018,State Representative,97,Mandy W. Kimmons,REP,53.86,53.86273555385578
SC,2018,State Representative,98,Chris Murphy,REP,96.12,96.1151832460733
SC,2018,State Representative,99,Jen Gibson,DEM,37.08,37.080801260409636
SC,2018,State Representative,99,Nancy Mace,REP,60.97,60.97231600270088
SC,2018,State Representative,100,Michael W. Yates,DEM,36.75,36.745907802649086
SC,2018,State Representative,100,Sylleste H. Davis,REP,62.52,62.519521082769394
SC,2018,State Representative,101,Cezar Mcknight,DEM,96.4,96.40105657054809
SC,2018,State Representative,102,Joe Jefferson,DEM,60.92,60.9170127860575
SC,2018,State Representative,102,Terry Hardesty,REP,38.99,38.993403371610064
SC,2018,State Representative,103,Carl L. Anderson,DEM,98.27,98.26802338168434
SC,2018,State Representative,104,William Bailey,REP,98.38,98.38442693504602
SC,2018,State Representative,105,Kevin Hardee,REP,97.99,97.98885124057274
SC,2018,State Representative,106,Robin Gause,DEM,29.94,29.94300518134715
SC,2018,State Representative,106,Russell Fry,REP,68.38,68.38341968911918
SC,2018,State Representative,107,Alan Clemmons,REP,97.49,97.4931129476584
SC,2018,State Representative,108,Lee Hewitt,REP,98.47,98.47349052746354
SC,2018,State Representative,109,David Mack III,DEM,80.81,80.80666089965398
SC,2018,State Representative,109,Rodney Travis,LIB,12.21,12.208044982698961
SC,2018,State Representative,110,Ben Pogue,DEM,44.87,44.87248082753701
SC,2018,State Representative,110,William S. Cogswell Jr.,REP,55.07,55.07401462457642
SC,2018,State Representative,111,Wendell G. Gilliard,DEM,98.43,98.42690000983187
SC,2018,State Representative,112,Joe Preston,DEM,40.89,40.88797108931337
SC,2018,State Representative,112,Mike Sottile,REP,57.31,57.30511099638617
SC,2018,State Representative,113,Marvin R. Pendarvis,DEM,98.49,98.48502922581415
SC,2018,State Representative,114,Dan P. Jones,DEM,43.59,43.58661873133874
SC,2018,State Representative,114,Melissa Couture,LIB,3.86,3.8571689720309545
SC,2018,State Representative,114,Lin Bennett,REP,52.52,52.51965145329353
SC,2018,State Representative,115,Carol Tempel,DEM,46.42,46.419126203321696
SC,2018,State Representative,115,Peter Mccoy,REP,51.45,51.449275362318836
SC,2018,State Representative,116,Robert L. Brown,DEM,54.04,54.04112567559173
SC,2018,State Representative,116,Carroll O'Neal,REP,43.89,43.89016586941666
SC,2018,State Representative,117,Krystle N. Simmons,DEM,53.45,53.45025876940771
SC,2018,State Representative,117,Bill Crosby,REP,46.41,46.40598044853364
SC,2018,State Representative,118,Bill Herbkersman,REP,97.98,97.9800418477386
SC,2018,State Representative,119,Leon Stavrinakis,DEM,64.98,64.97615447249039
SC,2018,State Representative,119,Paul Sizemore,REP,34.96,34.95986972199604
SC,2018,State Representative,120,Ryan Martz,DEM,35.83,35.83338278051386
SC,2018,State Representative,120,Weston Newton,REP,64.12,64.11914792618525
SC,2018,State Representative,121,Michael F. Rivers Sr.,DEM,97.92,97.91515402966498
SC,2018,State Representative,122,Shedron Williams,DEM,80.7,80.69854916711445
SC,2018,State Representative,123,Mario Martinez,DEM,37.91,37.90962400827872
SC,2018,State Representative,123,Jeff Bradley,REP,61.98,61.981142922846956
SC,2018,State Representative,124,Shannon Erickson,REP,97.43,97.43325526932084
SC,2018,State Treasurer,Statewide,Rosalyn L. Glenn,DEM,40.79,40.78970562312709
SC,2018,State Treasurer,Statewide,Curtis Loftis,REP,55.95,55.95117221928433
SC,2018,U.S. Representative,1,Joe Cunningham,DEM,50.6,50.604836605400216
SC,2018,U.S. Representative,1,Katie Arrington,REP,49.22,49.219470276551405
SC,2018,U.S. Representative,2,Sean Carrigan,DEM,42.47,42.4669147814995
SC,2018,U.S. Representative,2,Joe Wilson,REP,56.25,56.25051042432303
SC,2018,U.S. Representative,3,Mary Geren,DEM,30.97,30.965853831055153
SC,2018,U.S. Representative,3,Jeff Duncan,REP,67.79,67.78748386412265
SC,2018,U.S. Representative,4,Brandon P. Brown,DEM,36.56,36.55749128919861
SC,2018,U.S. Representative,4,William Timmons,REP,59.57,59.56999385119902
SC,2018,U.S. Representative,5,Archie Parnell,DEM,41.49,41.487414463812314
SC,2018,U.S. Representative,5,Ralph W. Norman,REP,57.03,57.026941133402254
SC,2018,U.S. Representative,6,James E. Jim Clyburn,DEM,70.13,70.12686925055587
SC,2018,U.S. Representative,6,Gerhard R. Gressmann,REP,28.23,28.232889121409855
SC,2018,U.S. Representative,7,Robert Williams,DEM,40.31,40.30990924801924
SC,2018,U.S. Representative,7,Tom Rice,REP,59.56,59.561101046110686
