office,candidate,party,state,incumbency,result,total money,district
State Representative,Jehan Gordon-Booth,DEM,IL,Incumbent,Won-General,95513.11,92
State Representative,Randy Frese,REP,IL,Open,Won-General,92144.76,94
State Representative,David Harris,REP,IL,Incumbent,Won-General,89773.64,53
State Representative,Cynthia Soto,DEM,IL,Incumbent,Won-General,83441.0,4
State Representative,Marcus Evans Jr.,DEM,IL,Incumbent,Won-General,82087.0,33
State Representative,Brian Stewart,REP,IL,Incumbent,Won-General,81790.4,89
State Representative,Monique Davis,DEM,IL,Incumbent,Won-General,81573.64,27
State Representative,Thomas Bennett,REP,IL,Open,Won-General,79511.26,106
State Representative,La Shawn Ford,DEM,IL,Incumbent,Won-General,75424.19,8
State Senator,Katherine Ruocco,REP,IL,Challenger,Lost-General,75283.31,57
State Senator,Steven Landek,DEM,IL,Incumbent,Won-General,74460.0,12
State Representative,Martha Shugart,DEM,IL,Challenger,Lost-General,71708.27,75
State Representative,Charles Jefferson,DEM,IL,Incumbent,Withdrew-General,69540.77,67
State Representative,Melinda Hult,REP,IL,Challenger,Lost-General,63778.43,113
Appellate Court District 001-Open Seat 6,David Ellis,DEM,IL,Open,Won-General,63504.99,nan
U.S. Representative,Dennis Anderson,DEM,IL,Challenger,Lost-General,61589.98,14
State Representative,Josh Evans,DEM,IL,Challenger,Lost-General,61556.29,100
State Representative,Grant Wehrli,REP,IL,Open,Won-General,59439.22,41
State Representative,Steven Reick,REP,IL,Challenger,Lost-General,58249.38,63
State Representative,Mary Flowers,DEM,IL,Incumbent,Won-General,57300.0,31
State Representative,Keith Sommer,REP,IL,Incumbent,Won-General,56468.93,88
State Representative,Bill Grossi,REP,IL,Challenger,Lost-General,56104.68,57
State Representative,Tom Demmer,REP,IL,Incumbent,Won-General,56079.84,90
Appellate Court District 002-Burke Seat,Michael Burke,REP,IL,Incumbent,Won-General,53520.0,nan
State Senator,Stefanie Linares,REP,IL,Challenger,Lost-General,51977.28,6
State Representative,Emily Klunk-Mcasey,DEM,IL,Incumbent,Won-General,46387.54,85
Secretary Of State,Michael Webster,REP,IL,Challenger,Lost-General,46349.4,nan
State Representative,Ed Agustin,DEM,IL,Open,Lost-General,43268.38,41
State Representative,Camille Lilly,DEM,IL,Incumbent,Won-General,42421.59,78
State Representative,Keith Farnham,DEM,IL,Incumbent,Withdrew-General,37225.0,43
State Representative,Esther Golar,DEM,IL,Incumbent,Won-General,37100.0,6
Governor,Chad Grimm,LIB,IL,Challenger,Lost-General,30000.0,nan
State Representative,Laddi Singh,DEM,IL,Challenger,Lost-General,29101.51,54
State Representative,Jeffrey Meyer,REP,IL,Open,Lost-General,28106.92,43
State Senator,Don Wilson,REP,IL,Challenger,Lost-General,26578.34,30
State Representative,Gregory Bedell,REP,IL,Challenger,Lost-General,26047.75,15
U.S. Representative,Darrel Miller,DEM,IL,Challenger,Lost-General,23359.42,18
State Representative,Josh Harms,REP,IL,Incumbent,Withdrew-General,23039.17,106
U.S. Representative,Eric Wallace,REP,IL,Challenger,Lost-General,22371.25,2
U.S. Representative,Sharon Brannigan,REP,IL,Challenger,Lost-General,18760.0,3
State Representative,Litesa Wallace,DEM,IL,Incumbent,Won-General,17800.0,67
U.S. Representative,Eric Thorsland,DEM,IL,Challenger,Lost-General,14207.0,15
State Representative,Josh Berger,DEM,IL,Challenger,Lost-General,14162.0,107
Appellate Court District 003-Holdridge Seat,William Holdridge,IND,IL,Incumbent,Won-Retention,14016.69,nan
State Representative,Mark Ekhoff,REP,IL,Challenger,Lost-General,12981.66,34
U.S. Representative,Nancy Wade,GRN,IL,Challenger,Lost-General,11737.42,5
State Representative,Mark Calonder,REP,IL,Open,Lost-General,11580.56,10
State Representative,Nichole Serbin,DEM,IL,Open,Lost-General,10250.0,37
State Representative,Yvonne Bolton,REP,IL,Challenger,Lost-General,9989.8,98
State Representative,Matt Forcum,DEM,IL,Challenger,Lost-General,9850.0,102
U.S. Representative,Paula Bradshaw,GRN,IL,Challenger,Lost-General,9746.69,12
State Representative,Valerie Burd,DEM,IL,Open,Lost-General,9563.98,50
U.S. Representative,Randall Wayne Olsen,DEM,IL,Challenger,Lost-General,8661.18,16
State Representative,Elizabeth Chaplin,DEM,IL,Challenger,Lost-General,7492.1,81
State Representative,Keith Turner,IND,IL,Challenger,Lost-General,5377.77,60
State Representative,Chad Schmidgall,DEM,IL,Challenger,Lost-General,5126.41,91
State Representative,Victor Horne,REP,IL,Challenger,Lost-General,4750.9,35
State Representative,Collin Johnson,REP,IL,Challenger,Lost-General,3346.55,5
Comptroller,Julie Fox,LIB,IL,Challenger,Lost-General,2979.0,nan
State Representative,Denis Detzel,REP,IL,Challenger,Lost-General,1500.0,14
State Representative,Jacob Hakalir,REP,IL,Challenger,Lost-General,1421.98,26
Attorney General,Ben Koyl,LIB,IL,Challenger,Lost-General,1344.38,nan
U.S. Senator,Sharon Hansen,LIB,IL,Challenger,Lost-General,1041.87,nan
State Representative,Dennis Grosskopf,DEM,IL,Open,Withdrew-General,424.44,97
U.S. Representative,Jimmy Lee Tillman II,REP,IL,Challenger,Lost-General,0.0,1
U.S. Representative,Hector Concepcion,REP,IL,Challenger,Lost-General,0.0,4
U.S. Representative,Michael Mason,DEM,IL,Challenger,Lost-General,0.0,6
U.S. Representative,Robert Bumpers,REP,IL,Challenger,Lost-General,0.0,7
U.S. Representative,Susanne Atanus,REP,IL,Challenger,Lost-General,0.0,9
State Representative,Myles Lloyd Tobin,REP,IL,Challenger,Withdrew-General,0.0,9
State Representative,Bill Downs,DEM,IL,Challenger,Lost-General,0.0,52
State Representative,William Nutter,DEM,IL,Open,Lost-General,0.0,106
Secretary Of State,Christopher Michel,LIB,IL,Challenger,Lost-General,0.0,nan
Treasurer,Matthew Skopek,LIB,IL,Open,Lost-General,0.0,nan
State Representative,Anthony Granata,REP,IL,Challenger,Lost-General,0.0,38
State Representative,Joel Mains,DEM,IL,Challenger,Lost-General,0.0,64
State Representative,Diane Harris,REP,IL,Challenger,Lost-General,0.0,86
Appellate Court District 004-White Seat,Lisa Holder White,REP,IL,Incumbent,Won-General,0.0,nan
Appellate Court District 001-Hoffman Seat,Thomas Hoffman,IND,IL,Incumbent,Won-Retention,0.0,nan
Appellate Court District 002-Hutchinson Seat,Susan Fayette Hutchinson,IND,IL,Incumbent,Won-Retention,0.0,nan
Appellate Court District 003-M Obrien Seat,Mary Obrien,IND,IL,Incumbent,Won-Retention,0.0,nan
Appellate Court District 004-Steigmann Seat,Robert Steigmann,IND,IL,Incumbent,Won-Retention,0.0,nan
