office,candidate,party,state,incumbency,result,total money,district
State Representative,Clel Baudler,REP,IA,Open,Won-General,30320.41,58
State Representative,Wesley Whitead,DEM,IA,Open,Won-General,29569.0,1
State Representative,Elizabeth Jacobs,REP,IA,Open,Won-General,28808.94,60
State Representative,David Tjepkes,REP,IA,Open,Won-General,28773.63,50
State Senator,Kenneth Veenstra,REP,IA,Open,Won-General,28616.0,2
State Representative,Ralph Watts,REP,IA,Open,Won-General,27947.9,47
State Representative,Patrick Joseph Murphy,DEM,IA,Open,Won-General,27912.47,28
State Representative,Gene Maddox,REP,IA,Open,Won-General,27584.88,59
State Representative,Joe Kelly,DEM,IA,Open,Lost-General,27579.24,47
State Representative,Steve Halloran,REP,IA,Open,Won-General,27384.56,46
State Representative,Gerald Banks,REP,IA,Open,Lost-General,26975.48,94
State Representative,Connie Boyer,REP,IA,Open,Lost-General,26274.67,90
State Representative,Paul Wilderdyke,REP,IA,Open,Won-General,26163.89,56
State Senator,James Seymour,REP,IA,Open,Won-General,25738.16,28
State Representative,Richard Ike Nelson,REP,IA,Open,Lost-General,25637.3,49
State Senator,Joseph Matthew Seng,DEM,IA,Open,Won-General,23502.82,43
State Senator,Kevin Miskell,DEM,IA,Open,Lost-General,23430.71,5
State Senator,Jerome Burken,REP,IA,Open,Lost-General,22588.38,13
State Representative,Jim Van Engelenhoven,REP,IA,Open,Won-General,22554.8,71
State Representative,Cindy Winckler,DEM,IA,Open,Won-General,22542.5,86
State Senator,Wally Horn,DEM,IA,Open,Won-General,22455.0,17
State Representative,Ed Fallon,DEM,IA,Open,Won-General,22225.5,66
State Representative,Clarence Hoffman,REP,IA,Open,Won-General,22066.75,55
State Representative,Donald Sonntag,DEM,IA,Open,Lost-General,21929.4,57
State Representative,Dolores Mertz,DEM,IA,Open,Won-General,21210.84,8
State Representative,Philip Stone,REP,IA,Open,Lost-General,20646.52,48
State Representative,Mark Kuhn,DEM,IA,Open,Won-General,20450.0,14
State Representative,Lance Horbach,REP,IA,Open,Won-General,20373.25,40
State Representative,Janet Petersen,DEM,IA,Open,Won-General,19956.93,64
State Representative,Effie Lee Boggess,REP,IA,Open,Won-General,19804.13,97
State Senator,Cherrie Wiese,REP,IA,Open,Lost-General,19782.2,25
State Representative,Wayne Hean,DEM,IA,Open,Lost-General,19367.08,81
State Representative,Bill Schickel,REP,IA,Open,Won-General,19244.2,13
State Representative,Richard Arnold,REP,IA,Open,Won-General,19227.97,72
State Representative,Carmine Boal,REP,IA,Open,Won-General,19131.16,70
State Representative,Stan Grote,REP,IA,Open,Lost-General,19049.0,99
State Representative,Jane Greimann,DEM,IA,Open,Won-General,18989.62,45
State Senator,Galen Davis,REP,IA,Open,Lost-General,18986.4,47
State Senator,Barbara Finch,REP,IA,Open,Lost-General,18930.0,23
State Representative,Dell Hanson,REP,IA,Open,Won-General,18862.64,39
State Senator,Jack Hatch,DEM,IA,Open,Won-General,18681.0,33
State Representative,Steven Gorman,DEM,IA,Open,Lost-General,18049.1,98
State Representative,Dick Taylor,DEM,IA,Open,Won-General,18042.0,33
State Representative,Polly Bukta,DEM,IA,Open,Won-General,18025.41,26
State Senator,Thomas Courtney,DEM,IA,Open,Won-General,17418.0,44
State Senator,Jack Young,REP,IA,Open,Lost-General,17348.4,15
State Representative,Linda Powell,DEM,IA,Open,Lost-General,16707.09,58
State Representative,Sandra Greiner,REP,IA,Open,Won-General,16494.9,89
State Senator,Bob Brunkhorst,REP,IA,Open,Won-General,16212.5,9
State Representative,Marcella Frevert,DEM,IA,Open,Won-General,15966.37,7
State Representative,Charles Wieneke,REP,IA,Open,Lost-General,15841.71,34
State Representative,Robert Osterhaus,DEM,IA,Open,Won-General,15789.98,25
State Representative,Don Shoultz,DEM,IA,Open,Won-General,15657.21,21
State Representative,James Hahn,REP,IA,Open,Won-General,15330.0,80
State Representative,Kathryn Russell,DEM,IA,Open,Lost-General,15314.44,73
State Representative,Mark Davitt,DEM,IA,Open,Won-General,15017.55,74
State Representative,Mary Lou Freeman,REP,IA,Open,Won-General,14927.77,52
State Representative,Steve Swanson,DEM,IA,Open,Lost-General,14685.41,82
State Representative,Daniel Huseman,REP,IA,Open,Won-General,14275.29,53
State Representative,Jo Ann Zager,DEM,IA,Open,Lost-General,14189.15,89
State Representative,Mary Pamela Jochum,DEM,IA,Open,Won-General,14184.9,27
