Candidate,Party,State,Office,Incumbency,Result,Total Money
"WHITING, ZACH",REPUBLICAN,IA,SENATE DISTRICT 001,Open,Pending,20825.23
"WESSEL-KROESCHELL, BETH",DEMOCRATIC,IA,HOUSE DISTRICT 045,Incumbent,Pending,20577.49
"GLEASON, MARIE",DEMOCRATIC,IA,SENATE DISTRICT 047,Challenger,Pending,20028.46
"MCKEAN, ANDY",REPUBLICAN,IA,HOUSE DISTRICT 058,Incumbent,Pending,19165.00
"KOELKER, CARRIE",REPUBLICAN,IA,SENATE DISTRICT 029,Challenger,Pending,19061.00
"VARLEY, WARREN",DEMOCRATIC,IA,HOUSE DISTRICT 020,Open,Pending,18739.54
"FISHER, DEAN C",REPUBLICAN,IA,HOUSE DISTRICT 072,Incumbent,Pending,18685.00
"DAWSON, DAVE",DEMOCRATIC,IA,SENATE DISTRICT 003,Challenger,Pending,18497.00
"MILLER-MEEKS, MARIANNETTE",REPUBLICAN,IA,SENATE DISTRICT 041,Open,Pending,18368.10
"BEARINGER, BRUCE D",DEMOCRATIC,IA,HOUSE DISTRICT 064,Incumbent,Pending,18254.62
"LANDON, JOHN",REPUBLICAN,IA,HOUSE DISTRICT 037,Incumbent,Pending,17370.00
"ISENHART, CHARLES W",DEMOCRATIC,IA,HOUSE DISTRICT 100,Incumbent,Pending,17262.23
"MCCONKEY JR, CHARLES H (CHARLIE)",DEMOCRATIC,IA,HOUSE DISTRICT 015,Incumbent,Pending,17044.68
"MARQUARDT, RYAN",DEMOCRATIC,IA,HOUSE DISTRICT 025,Challenger,Pending,17036.26
"ANDERSON, MARTI",DEMOCRATIC,IA,HOUSE DISTRICT 036,Incumbent,Pending,16922.56
"KLEIN, JARAD",REPUBLICAN,IA,HOUSE DISTRICT 078,Incumbent,Pending,16740.00
"CARLIN, JAMES (JIM)",REPUBLICAN,IA,SENATE DISTRICT 003,Incumbent,Pending,16571.33
"BRECKENRIDGE, WES",DEMOCRATIC,IA,HOUSE DISTRICT 029,Incumbent,Pending,16519.55
"TAYLOR, TODD",DEMOCRATIC,IA,SENATE DISTRICT 035,Open,Pending,16492.04
"BENNETT, LIZ",DEMOCRATIC,IA,HOUSE DISTRICT 065,Incumbent,Pending,15954.57
"MARTTILA, JOAN",DEMOCRATIC,IA,HOUSE DISTRICT 094,Challenger,Pending,15678.86
"MCDANEL, SUSAN",DEMOCRATIC,IA,HOUSE DISTRICT 080,Open,Pending,15476.84
"KOESTER, KEVIN",REPUBLICAN,IA,HOUSE DISTRICT 038,Incumbent,Pending,15285.00
