Candidate,Party,State,Office,Incumbency,Result,Total Money
"STEINMETZ, CHERI E",REPUBLICAN,WY,HOUSE DISTRICT 005,Open,Won-General,19672.44
"FILER, LEE R",DEMOCRATIC,WY,HOUSE DISTRICT 012,Incumbent,Lost-General,19480.04
"FREEMAN, JOHN L",DEMOCRATIC,WY,HOUSE DISTRICT 060,Incumbent,Won-General,18537.68
"DAYTON, JOANN R",DEMOCRATIC,WY,HOUSE DISTRICT 017,Challenger,Won-General,18415.00
"SELMER, MIKE",DEMOCRATIC,WY,HOUSE DISTRICT 046,Challenger,Lost-General,18169.62
"DARWICHE, JIM",REPUBLICAN,WY,HOUSE DISTRICT 023,Open,Lost-General,17439.96
"HALVERSON, MARTI",REPUBLICAN,WY,HOUSE DISTRICT 022,Incumbent,Won-General,17236.00
"MACKER, NATALIA",DEMOCRATIC,WY,HOUSE DISTRICT 022,Challenger,Lost-General,17185.18
"KRONE, SAM",REPUBLICAN,WY,HOUSE DISTRICT 024,Incumbent,Won-General,17155.00
"KROEKER, KENDELL",REPUBLICAN,WY,HOUSE DISTRICT 035,Incumbent,Won-General,16631.00
"CASE, JAMES CALE (CALE)",REPUBLICAN,WY,SENATE DISTRICT 025,Incumbent,Won-General,15592.28
"LANDEN, BILL",REPUBLICAN,WY,SENATE DISTRICT 027,Incumbent,Won-General,14125.00
"EKLUND JR, JOHN",REPUBLICAN,WY,HOUSE DISTRICT 010,Incumbent,Won-General,13950.00
"WRIGHT SR, GAYLAN D",DEMOCRATIC,WY,HOUSE DISTRICT 010,Challenger,Lost-General,13950.00
"ESQUIBEL, KEN A",DEMOCRATIC,WY,HOUSE DISTRICT 041,Incumbent,Won-General,13805.00
"PELKEY, CHARLES F",DEMOCRATIC,WY,HOUSE DISTRICT 045,Open,Won-General,13767.48
"JENNINGS, CLIFFORD MARK",REPUBLICAN,WY,HOUSE DISTRICT 030,Open,Won-General,13072.00
"WASSERBURGER, JEFF",REPUBLICAN,WY,SENATE DISTRICT 023,Open,Won-General,12850.00
"PAPPAS, STEPHAN",REPUBLICAN,WY,SENATE DISTRICT 007,Open,Won-General,12631.00
"HOOLEY, BILL",REPUBLICAN,WY,HOUSE DISTRICT 060,Challenger,Lost-General,11950.70
"YOUNG, CHARLES (CJ)",REPUBLICAN,WY,HOUSE DISTRICT 045,Open,Lost-General,11599.22
"BAKER, MARK",REPUBLICAN,WY,HOUSE DISTRICT 048,Incumbent,Won-General,10600.00
"MONIZ, GLENN",REPUBLICAN,WY,HOUSE DISTRICT 046,Incumbent,Won-General,10465.56
"CLIFFORD, ANDREA",DEMOCRATIC,WY,HOUSE DISTRICT 033,Open,Lost-General,10381.00
"YOUNG, JENNIFER",CONSTITUTION,WY,SECRETARY OF STATE,Open,Lost-General,10121.00
"BARLOW, ERIC",REPUBLICAN,WY,HOUSE DISTRICT 003,Incumbent,Won-General,10050.00
"JAGGI, ALLEN M",REPUBLICAN,WY,HOUSE DISTRICT 019,Incumbent,Won-General,9890.00
"MONTGOMERY, BILLY",DEMOCRATIC,WY,HOUSE DISTRICT 031,Open,Lost-General,9798.60
"BERGER, ROSIE",REPUBLICAN,WY,HOUSE DISTRICT 051,Incumbent,Won-General,9650.00
"HARSHMAN, STEVE",REPUBLICAN,WY,HOUSE DISTRICT 037,Incumbent,Won-General,9650.00
"BURKHART JR, DONALD EDGAR",REPUBLICAN,WY,HOUSE DISTRICT 015,Incumbent,Won-General,9600.00
"LOUCKS, CARL R (BUNKY)",REPUBLICAN,WY,HOUSE DISTRICT 059,Incumbent,Won-General,9495.00
"DRISKILL, WILLIAM OGDEN",REPUBLICAN,WY,SENATE DISTRICT 001,Incumbent,Won-General,9400.00
"ALLEN, JAMES R (JIM)",REPUBLICAN,WY,HOUSE DISTRICT 033,Open,Won-General,9350.00
"LINDHOLM, TYLER",REPUBLICAN,WY,HOUSE DISTRICT 001,Open,Won-General,9302.27
"MADDEN, MICHAEL K (MIKE)",REPUBLICAN,WY,HOUSE DISTRICT 040,Incumbent,Won-General,9060.34
"ZWONITZER, DAN",REPUBLICAN,WY,HOUSE DISTRICT 043,Incumbent,Won-General,9050.00
"REGESKI, PHIL",REPUBLICAN,WY,HOUSE DISTRICT 011,Challenger,Lost-General,8944.44
"IRWIN, MICHELE",DEMOCRATIC,WY,HOUSE DISTRICT 018,Open,Lost-General,8721.20
"ZWONITZER, DAVID L",REPUBLICAN,WY,HOUSE DISTRICT 009,Incumbent,Won-General,8169.44
"PATTON, JOHN W",REPUBLICAN,WY,HOUSE DISTRICT 029,Incumbent,Won-General,8035.00
"NORTHRUP, DAVID",REPUBLICAN,WY,HOUSE DISTRICT 050,Incumbent,Won-General,7550.00
"EDMONDS, HARLAND",REPUBLICAN,WY,HOUSE DISTRICT 012,Challenger,Won-General,7544.44
"HARVEY, ELAINE D",REPUBLICAN,WY,HOUSE DISTRICT 026,Incumbent,Won-General,7300.00
"BROWN, KERMIT C",REPUBLICAN,WY,HOUSE DISTRICT 014,Incumbent,Won-General,7034.36
"POWNALL, WILLIAM (BILL)",REPUBLICAN,WY,HOUSE DISTRICT 052,Open,Won-General,6878.76
"BALDWIN, FRED A",REPUBLICAN,WY,HOUSE DISTRICT 018,Open,Won-General,6725.91
