Candidate,Party,State,Office,Incumbency,Result,Total Money
"MULLERY, GERALD J",DEMOCRATIC,PA,HOUSE DISTRICT 119,Incumbent,Won-General,42791.17
"KLUNK, KATE ANNE",REPUBLICAN,PA,HOUSE DISTRICT 169,Open,Won-General,42730.65
"FREEBERG, KEVIN",DEMOCRATIC,PA,HOUSE DISTRICT 062,Challenger,Lost-General,41792.02
"ROZZI, MARK L",DEMOCRATIC,PA,HOUSE DISTRICT 126,Incumbent,Won-General,41280.45
"WATERS, RONALD GRANVILLE",DEMOCRATIC,PA,HOUSE DISTRICT 191,Incumbent,Won-General,41250.00
"SNYDER, SANDRA A",DEMOCRATIC,PA,HOUSE DISTRICT 156,Challenger,Lost-General,40888.66
"DELOZIER, SHERYL M",REPUBLICAN,PA,HOUSE DISTRICT 088,Incumbent,Won-General,40076.75
"CICKAY JR, STEPHEN GEORGE",DEMOCRATIC,PA,SENATE DISTRICT 010,Challenger,Lost-General,39659.20
"TOEPEL, MARCY L",REPUBLICAN,PA,HOUSE DISTRICT 147,Incumbent,Won-General,39430.00
"ACOSTA, LESLIE",DEMOCRATIC,PA,HOUSE DISTRICT 197,Open,Won-General,39390.00
"LONG, JAKE",DEMOCRATIC,PA,HOUSE DISTRICT 102,Open,Lost-General,38722.40
"GILLIES JR, ROBERT EMMETT",REPUBLICAN,PA,HOUSE DISTRICT 154,Challenger,Lost-General,38698.57
"MASSER, KURT A",REPUBLICAN,PA,HOUSE DISTRICT 107,Incumbent,Won-General,38415.82
"YOUNGBLOOD, ROSITA C",DEMOCRATIC,PA,HOUSE DISTRICT 198,Incumbent,Won-General,38035.00
"MCATEER, ROBERT W",MCALTEER FOR HOUSE,PA,HOUSE DISTRICT 102,Open,Lost-General,37375.99
"KELLER, MARK K",REPUBLICAN,PA,HOUSE DISTRICT 086,Incumbent,Won-General,35785.95
"FABRIZIO, FLORINDO J (FLO)",DEMOCRATIC,PA,HOUSE DISTRICT 002,Incumbent,Won-General,35708.00
"SMALL, LINDA E",DEMOCRATIC,PA,SENATE DISTRICT 028,Challenger,Lost-General,34954.35
"MILNE, DUANE D",REPUBLICAN,PA,HOUSE DISTRICT 167,Incumbent,Won-General,34928.79
"DUNBAR, GEORGE S",REPUBLICAN,PA,HOUSE DISTRICT 056,Incumbent,Won-General,34895.49
"DAWKINS, JASON",DEMOCRATIC,PA,HOUSE DISTRICT 179,Open,Won-General,34541.07
"MADEIRA, MELANIE RENEE",REPUBLICAN,PA,HOUSE DISTRICT 114,Challenger,Lost-General,34253.73
"RZUCIDLO, SUSAN F",DEMOCRATIC,PA,HOUSE DISTRICT 158,Challenger,Lost-General,34001.71
"BARTOLI, JILL SUNDAY",DEMOCRATIC,PA,HOUSE DISTRICT 199,Challenger,Lost-General,33724.42
"BISHOP, LOUISE WILLIAMS",DEMOCRATIC,PA,HOUSE DISTRICT 192,Incumbent,Won-General,32600.00
"ROAE, BRADLEY T",REPUBLICAN,PA,HOUSE DISTRICT 006,Incumbent,Won-General,31926.00
"CONKLIN, H SCOTT",DEMOCRATIC,PA,HOUSE DISTRICT 077,Incumbent,Won-General,30675.00
"NESBIT, TEDD C",REPUBLICAN,PA,HOUSE DISTRICT 008,Open,Won-General,29366.07
"TALLMAN, WILL F",REPUBLICAN,PA,HOUSE DISTRICT 193,Incumbent,Won-General,28970.14
"TOPPER, JESSE W",REPUBLICAN,PA,HOUSE DISTRICT 078,Open,Won-General,28564.44
"JAMES, ROBERT LEE",REPUBLICAN,PA,HOUSE DISTRICT 064,Incumbent,Won-General,28116.70
"KAUFFMAN, ROBERT W",REPUBLICAN,PA,HOUSE DISTRICT 089,Incumbent,Won-General,27980.00
"DELISSIO, PAMELA A",DEMOCRATIC,PA,HOUSE DISTRICT 194,Incumbent,Won-General,27540.00
"FORREST, ELIZABETH",DEMOCRATIC,PA,HOUSE DISTRICT 189,Challenger,Lost-General,27428.93
"FEE, MELINDA S",REPUBLICAN,PA,HOUSE DISTRICT 037,Incumbent,Won-General,27200.45
"HANSEN, JACK",DEMOCRATIC,PA,SENATE DISTRICT 024,Challenger,Lost-General,26991.62
"SANTIK, ROBERT TOBY",DEMOCRATIC,PA,HOUSE DISTRICT 066,Open,Lost-General,26466.00
"DIAMOND, RUSS",REPUBLICAN,PA,HOUSE DISTRICT 102,Open,Won-General,26394.40
"DICKSON, LAURA",DEMOCRATIC,PA,HOUSE DISTRICT 117,Challenger,Lost-General,25772.41
"MUHA, MICHAEL T",DEMOCRATIC,PA,SENATE DISTRICT 050,Open,Lost-General,24528.78
"SCHOTT, ANN V S",DEMOCRATIC,PA,HOUSE DISTRICT 013,Challenger,Lost-General,24497.74
"GILLESPIE, KEITH J",REPUBLICAN,PA,HOUSE DISTRICT 047,Incumbent,Won-General,24330.00
"HOFFMAN, WHITNEY S",DEMOCRATIC,PA,HOUSE DISTRICT 160,Challenger,Lost-General,23864.07
"LEONARD, SUZAN F",DEMOCRATIC,PA,HOUSE DISTRICT 061,Challenger,Lost-General,22946.14
"STILP, EUGENE P",DEMOCRATIC,PA,HOUSE DISTRICT 104,Challenger,Lost-General,22083.53
"METZGAR, CARL WALKER",REPUBLICAN DEMOCRATIC,PA,HOUSE DISTRICT 069,Incumbent,Won-General,21994.50
"RICE, PHILIP D",REPUBLICAN,PA,HOUSE DISTRICT 072,Challenger,Lost-General,21619.54
"HAMPLE, CHARLES",DEMOCRATIC,PA,HOUSE DISTRICT 097,Challenger,Lost-General,21336.22
"BROWN, VANESSA LOWERY L",DEMOCRATIC,PA,HOUSE DISTRICT 190,Incumbent,Won-General,21280.00
"STOPPERICH, SONIA M",REPUBLICAN,PA,HOUSE DISTRICT 048,Challenger,Lost-General,20714.88
"CROWLEY, ANNE R",DEMOCRATIC,PA,HOUSE DISTRICT 167,Challenger,Lost-General,19725.63
"SMITH, CURTIS BRIAN",DEMOCRATIC,PA,HOUSE DISTRICT 004,Challenger,Lost-General,18791.67
"CIACH, MICHAEL J",REPUBLICAN,PA,HOUSE DISTRICT 159,Challenger,Lost-General,18355.00
"MCENTEE, KELLY JEAN",DEMOCRATIC,PA,HOUSE DISTRICT 105,Challenger,Lost-General,18130.10
"MILLARD, DAVID R",REPUBLICAN,PA,HOUSE DISTRICT 109,Incumbent,Won-General,17950.00
"SANKEY III, THOMAS R",REPUBLICAN,PA,HOUSE DISTRICT 073,Incumbent,Won-General,17038.78
"EVANS, DWIGHT",DEMOCRATIC,PA,HOUSE DISTRICT 203,Incumbent,Won-General,16955.00
"PANICHELLE, BRIAN E",REPUBLICAN,PA,HOUSE DISTRICT 055,Challenger,Lost-General,16735.24
"LOFGREN, LUKE E",REPUBLICAN,PA,HOUSE DISTRICT 003,Challenger,Lost-General,16733.84
"ONEILL, BERNARD T (BERNIE)",REPUBLICAN,PA,HOUSE DISTRICT 029,Incumbent,Won-General,16700.00
"MCCLELLAND, DONNA J",DEMOCRATIC,PA,HOUSE DISTRICT 057,Challenger,Lost-General,16204.80
"KESSLER, DAVID R",DEMOCRATIC,PA,HOUSE DISTRICT 130,Challenger,Lost-General,16182.90
"MOUL, DAN",REPUBLICAN,PA,HOUSE DISTRICT 091,Incumbent,Won-General,14828.00
"GROSS, BENJAMIN",REPUBLICAN,PA,HOUSE DISTRICT 045,Challenger,Lost-General,14693.45
"POWELL, TERRI LYNN",DEMOCRATIC,PA,HOUSE DISTRICT 183,Challenger,Lost-General,14128.00
"DONATUCCI, MARIA P",DEMOCRATIC,PA,HOUSE DISTRICT 185,Incumbent,Won-General,14000.00
"KOTIK, NICKOLAS M",DEMOCRATIC,PA,HOUSE DISTRICT 045,Incumbent,Won-General,13499.50
"COOK, DONALD",REPUBLICAN,PA,HOUSE DISTRICT 049,Challenger,Lost-General,13449.53
"HARRIS, CHRISTOPHER ADAM",REPUBLICAN,PA,HOUSE DISTRICT 082,Incumbent,Won-General,13440.00
"ALTIERI, LESLIE M",DEMOCRATIC,PA,HOUSE DISTRICT 138,Challenger,Lost-General,13243.89
"ALBERT, ARTHUR JOSEPH",REPUBLICAN,PA,SENATE DISTRICT 022,Challenger,Lost-General,13168.81
"MOLONY, DAVID EDGAR",REPUBLICAN,PA,HOUSE DISTRICT 133,Challenger,Lost-General,13166.00
"SCHEMEL, PAUL",REPUBLICAN,PA,HOUSE DISTRICT 090,Open,Won-General,13137.09
"ANDERSON, TOBY",DEMOCRATIC,PA,HOUSE DISTRICT 065,Challenger,Lost-General,12799.92
"FODI, THOMAS ANTHONY",REPUBLICAN,PA,HOUSE DISTRICT 020,Challenger,Lost-General,11680.01
"HARTZOK, ALANNA K",DEMOCRATIC,PA,US HOUSE DISTRICT PA 009,Challenger,Lost-General,11647.00
"HARKINS, PATRICK J",DEMOCRATIC,PA,HOUSE DISTRICT 001,Incumbent,Won-General,11500.00
"MOLOVINSKY, MICHAEL",INDEPENDENT,PA,HOUSE DISTRICT 183,Challenger,Lost-General,10795.00
"LISI, MARCEL J",REPUBLICAN,PA,HOUSE DISTRICT 113,Challenger,Lost-General,10004.20
"MAHER, JOHN A",REPUBLICAN,PA,HOUSE DISTRICT 040,Incumbent,Won-General,9764.70
"RITTER, JOHN D",REPUBLICAN,PA,HOUSE DISTRICT 025,Challenger,Lost-General,9611.07
"COX JR, JAMES A (JIM)",REPUBLICAN,PA,HOUSE DISTRICT 129,Incumbent,Won-General,9360.00
"KILEY, REGINA H",DEMOCRATIC,PA,HOUSE DISTRICT 142,Challenger,Lost-General,9340.62
"CROCAMO, ANTHONY THOMAS",DEMOCRATIC,PA,HOUSE DISTRICT 098,Challenger,Lost-General,9212.30
