Candidate,Party,State,Office,Incumbency,Result,Total Money
"HERTZ, GREGORY J",REPUBLICAN,MT,HOUSE DISTRICT 012,Incumbent,Won-General,8180.00
"WEBB, PEGGY",REPUBLICAN,MT,HOUSE DISTRICT 043,Open,Won-General,8135.16
"BROWN, DEE L",REPUBLICAN,MT,SENATE DISTRICT 002,Incumbent,Won-General,7937.07
"LENZ, DENNIS ROBERT",REPUBLICAN,MT,HOUSE DISTRICT 053,Open,Won-General,7928.10
"CLARK, JOHANNA",REPUBLICAN,MT,HOUSE DISTRICT 093,Open,Lost-General,7763.97
"MOORE, DAVID (DOC)",REPUBLICAN,MT,HOUSE DISTRICT 100,Challenger,Lost-General,7674.81
"RICCI, VINCE J",REPUBLICAN,MT,HOUSE DISTRICT 055,Incumbent,Won-General,7668.68
"MANDEVILLE, FORREST",REPUBLICAN,MT,HOUSE DISTRICT 057,Incumbent,Won-General,7665.78
"ECK, JENNY",DEMOCRATIC,MT,HOUSE DISTRICT 079,Incumbent,Won-General,7394.80
"MORTENSEN, DALE",REPUBLICAN,MT,HOUSE DISTRICT 044,Incumbent,Won-General,7329.00
"VINTON, SUE",REPUBLICAN,MT,HOUSE DISTRICT 056,Open,Won-General,7293.30
"STANLEY, LYNN R",DEMOCRATIC,MT,HOUSE DISTRICT 007,Challenger,Lost-General,7152.49
"DRISCOLL, ROBYN",DEMOCRATIC,MT,SENATE DISTRICT 025,Incumbent,Withdrew-General,7001.50
"ROSENDALE, ADAM",REPUBLICAN,MT,HOUSE DISTRICT 051,Open,Won-General,6882.40
"SHEETS, MARK L",DEMOCRATIC,MT,SENATE DISTRICT 007,Challenger,Lost-General,6816.05
"NEAL, NANCY A",DEMOCRATIC,MT,HOUSE DISTRICT 086,Challenger,Lost-General,6767.59
"HUSO, MERLYN",DEMOCRATIC,MT,HOUSE DISTRICT 070,Challenger,Lost-General,6688.00
"REDFIELD, ALAN",REPUBLICAN,MT,HOUSE DISTRICT 059,Incumbent,Won-General,6535.68
"STAFFANSON, SCOTT J",REPUBLICAN,MT,HOUSE DISTRICT 035,Incumbent,Won-General,6385.00
"MCCARTHY, KELLY M",DEMOCRATIC,MT,HOUSE DISTRICT 049,Incumbent,Won-General,6190.38
"KNUDSEN, AUSTIN",REPUBLICAN,MT,HOUSE DISTRICT 034,Incumbent,Won-General,5880.00
"CURDY, WILLIS",DEMOCRATIC,MT,HOUSE DISTRICT 098,Incumbent,Won-General,5763.65
"GARNER, FRANK",REPUBLICAN,MT,HOUSE DISTRICT 007,Incumbent,Won-General,5705.14
"BERGLEE, SETH M",REPUBLICAN,MT,HOUSE DISTRICT 058,Incumbent,Won-General,5607.85
"DUDIK, KIMBERLY",DEMOCRATIC,MT,HOUSE DISTRICT 094,Incumbent,Won-General,5425.00
"DOANE, ALAN J",REPUBLICAN,MT,HOUSE DISTRICT 036,Incumbent,Won-General,5415.00
"RAPP, AMY J",DEMOCRATIC,MT,HOUSE DISTRICT 020,Open,Lost-General,5196.64
"BALLANCE, NANCY L",REPUBLICAN,MT,HOUSE DISTRICT 087,Incumbent,Won-General,5108.86
"LEACH, ROBERT",REPUBLICAN,MT,HOUSE DISTRICT 083,Open,Lost-General,5105.59
"SPORKIN-MORRISON, BARNETT G",DEMOCRATIC,MT,HOUSE DISTRICT 017,Open,Lost-General,5089.75
"WHITE, KERRY E",REPUBLICAN,MT,HOUSE DISTRICT 064,Incumbent,Won-General,4969.00
"SMALL, JASON D",REPUBLICAN,MT,SENATE DISTRICT 021,Open,Won-General,4780.00
"HARRIS, BILL",REPUBLICAN,MT,HOUSE DISTRICT 037,Open,Won-General,4394.00
"CROUCH, KEN",DEMOCRATIC,MT,HOUSE DISTRICT 045,Challenger,Lost-General,4335.00
