Candidate,Party,State,Office,Incumbency,Result,Total Money
"STRANSKY, CHERYL",DEMOCRATIC,ID,HOUSE DISTRICT 002-POSITION A,Challenger,Lost-General,12821.39
"BARRON, LEE",REPUBLICAN,ID,HOUSE DISTRICT 026-POSITION B,Challenger,Lost-General,12537.50
"MILLER, KARLA J",DEMOCRATIC,ID,HOUSE DISTRICT 008-POSITION A,Open,Lost-General,12332.80
"MCMILLAN, SHANNON",REPUBLICAN,ID,HOUSE DISTRICT 007-POSITION A,Incumbent,Won-General,12160.63
"HOLTZCLAW, JAMES D",REPUBLICAN,ID,HOUSE DISTRICT 020-POSITION B,Open,Won-General,11740.95
"NIELSEN, PETE",REPUBLICAN,ID,HOUSE DISTRICT 023-POSITION B,Incumbent,Won-General,11550.00
"CROKER, BOB",INDEPENDENT,ID,HOUSE DISTRICT 029-POSITION A,Open,Lost-General,11364.11
"ROMRELL, PAUL",REPUBLICAN,ID,HOUSE DISTRICT 035-POSITION B,Open,Won-General,11051.20
"CLOW, LANCE W",REPUBLICAN,ID,HOUSE DISTRICT 024-POSITION A,Open,Won-General,10926.00
"DE ANGELIS, HENRY",DEMOCRATIC,ID,HOUSE DISTRICT 033-POSITION B,Challenger,Lost-General,10319.10
"BELL, MAXINE T",REPUBLICAN,ID,HOUSE DISTRICT 025-POSITION A,Incumbent,Won-General,10300.00
"SHOUSHTARIAN, AL",INDEPENDENT,ID,SENATE DISTRICT 014,Open,Lost-General,10072.90
"MELINE, CAROLYN",DEMOCRATIC,ID,HOUSE DISTRICT 029-POSITION A,Open,Won-General,9993.69
"CLAUSEN, JOANNA",DEMOCRATIC,ID,SENATE DISTRICT 008,Open,Lost-General,9405.21
"CLOONAN, JOAN M",REPUBLICAN,ID,SENATE DISTRICT 016,Challenger,Lost-General,9375.35
"DAYLEY, THOMAS E (TOM)",REPUBLICAN,ID,HOUSE DISTRICT 021-POSITION B,Open,Won-General,9200.00
"HALEY, MARY E",DEMOCRATIC,ID,HOUSE DISTRICT 033-POSITION A,Open,Lost-General,9081.20
"WOOD, JOAN",REPUBLICAN,ID,HOUSE DISTRICT 035-POSITION A,Incumbent,Won-General,9077.04
"COOPER, CRAIG",REPUBLICAN,ID,HOUSE DISTRICT 029-POSITION B,Challenger,Lost-General,8820.00
"SANTIAGO, DANIEL",REPUBLICAN,ID,HOUSE DISTRICT 006-POSITION B,Challenger,Lost-General,7935.00
"BOLICEK, BRAD",REPUBLICAN,ID,HOUSE DISTRICT 018-POSITION B,Challenger,Lost-General,7703.88
"WORTHLEY, STEVE",DEMOCRATIC,ID,HOUSE DISTRICT 009-POSITION A,Challenger,Lost-General,7351.73
"SKYVING, LEIF",DEMOCRATIC,ID,SENATE DISTRICT 010,Open,Lost-General,6817.24
"TREHAL, CLAYTON",DEMOCRATIC,ID,HOUSE DISTRICT 013-POSITION A,Challenger,Lost-General,6594.51
"KEELE, J KELLY",DEMOCRATIC,ID,HOUSE DISTRICT 035-POSITION B,Open,Lost-General,6435.00
"ENGLISH, DAN",DEMOCRATIC,ID,HOUSE DISTRICT 002-POSITION B,Open,Lost-General,6385.33
"BROWN, VICTORIA",DEMOCRATIC,ID,SENATE DISTRICT 011,Challenger,Lost-General,6082.68
"KOOMPIN, KAMREN",DEMOCRATIC,ID,HOUSE DISTRICT 028-POSITION B,Open,Lost-General,6030.00
"CALLEN, JANET",DEMOCRATIC,ID,HOUSE DISTRICT 004-POSITION A,Open,Lost-General,5869.76
"MOSSMAN, RALPH L",DEMOCRATIC,ID,HOUSE DISTRICT 032-POSITION B,Challenger,Lost-General,5701.00
"ROACH, MARY SUE",INDEPENDENT,ID,HOUSE DISTRICT 009-POSITION B,Challenger,Lost-General,5481.33
"DREWS, CASEY",DEMOCRATIC,ID,HOUSE DISTRICT 007-POSITION A,Challenger,Lost-General,5391.00
"MCFADDAN, SHIRLEY",DEMOCRATIC,ID,SENATE DISTRICT 002,Challenger,Lost-General,5390.85
"MCCLURE, SCOTT FREDRICK",DEMOCRATIC,ID,SENATE DISTRICT 025,Open,Lost-General,5174.62
"CHIARELLA, PAM",DEMOCRATIC,ID,HOUSE DISTRICT 023-POSITION B,Challenger,Lost-General,5104.72
"CLAWSON, CHERIE HARDING",DEMOCRATIC,ID,SENATE DISTRICT 031,Challenger,Lost-General,5055.00
"VANDER WOUDE, JOHN",REPUBLICAN,ID,HOUSE DISTRICT 022-POSITION A,Incumbent,Won-General,4635.00
"OLEARY, PAUL NELSON",REPUBLICAN,ID,SENATE DISTRICT 019,Open,Lost-General,4580.00
"MARCANTONIO, PAT",DEMOCRATIC,ID,SENATE DISTRICT 024,Challenger,Lost-General,4566.05
"RUFF, LEE-MARK",REPUBLICAN,ID,HOUSE DISTRICT 016-POSITION A,Challenger,Lost-General,4234.36
"MCKEE, SAM",DEMOCRATIC,ID,HOUSE DISTRICT 028-POSITION A,Challenger,Lost-General,4049.00
"BICKLE, JODY",DEMOCRATIC,ID,HOUSE DISTRICT 023-POSITION A,Challenger,Withdrew-General,3899.52
"BOGGESS, JEREMY PAUL",INDEPENDENT,ID,SENATE DISTRICT 004,Challenger,Lost-General,3535.91
"INMAN, CHAD",REPUBLICAN,ID,HOUSE DISTRICT 017-POSITION B,Challenger,Lost-General,3448.00
