Candidate,Party,State,Office,Incumbency,Result,Total Money
"MURRAY, DENNIS E",DEMOCRATIC,OH,HOUSE DISTRICT 080,Incumbent,Won-General,190169.08
"SAYRE, ALLAN R",DEMOCRATIC,OH,HOUSE DISTRICT 096,Incumbent,Withdrew-General,188621.61
"SCHIAVONI, JOSEPH L (JOE)",DEMOCRATIC,OH,SENATE DISTRICT 033,Incumbent,Won-General,187734.68
"GERBERRY, RONALD",DEMOCRATIC,OH,HOUSE DISTRICT 059,Incumbent,Won-General,178478.91
"LUNDY, MATT",DEMOCRATIC,OH,HOUSE DISTRICT 057,Incumbent,Won-General,175790.74
"PERK, KELLI KAY",DEMOCRATIC,OH,HOUSE DISTRICT 017,Open,Lost-General,172045.29
"TRAPP, MARY JANE",NONPARTISAN,OH,SUPREME COURT-LANZINGER SEAT,Challenger,Lost-General,170868.76
"YUKO, KENNY",DEMOCRATIC,OH,HOUSE DISTRICT 007,Incumbent,Won-General,169517.59
"FISCHER, PAT",NONPARTISAN,OH,APPELLATE COURT DISTRICT 001-MALLORY SEAT,Challenger,Won-General,162401.53
"CLYDE, KATHLEEN",DEMOCRATIC,OH,HOUSE DISTRICT 068,Open,Won-General,162021.85
"NUTTER, BENJAMIN",DEMOCRATIC,OH,HOUSE DISTRICT 081,Open,Lost-General,159265.43
"ANDERSON, JOHN DAVID",LIBERTARIAN,OH,US HOUSE DISTRICT OH 007,Challenger,Lost-General,157968.50
"OFARRELL, JOSHUA E",DEMOCRATIC,OH,HOUSE DISTRICT 096,Incumbent,Lost-General,157169.88
"COSME, KEILA",NONPARTISAN,OH,APPELLATE COURT DISTRICT 006-COSME SEAT,Incumbent,Lost-General,151835.23
"ZEHRINGER, JAMES J",REPUBLICAN,OH,HOUSE DISTRICT 077,Incumbent,Won-General,150070.20
"OELSLAGER, SCOTT",REPUBLICAN,OH,SENATE DISTRICT 029,Open,Won-General,148265.14
"KLATT, WILLIAM A",NONPARTISAN,OH,APPELLATE COURT DISTRICT 010-KLATT SEAT,Incumbent,Won-General,148250.00
"HAGAN, ROBERT F",DEMOCRATIC,OH,HOUSE DISTRICT 060,Incumbent,Won-General,144300.53
"BOYD, BARBARA H",DEMOCRATIC,OH,HOUSE DISTRICT 009,Incumbent,Won-General,139519.36
"BECK, PETER ANTHONY",REPUBLICAN,OH,HOUSE DISTRICT 067,Incumbent,Won-General,137558.74
"LEHNER, PEGGY",REPUBLICAN,OH,HOUSE DISTRICT 037,Incumbent,Won-General,137180.00
"ONEILL, BILL",DEMOCRATIC,OH,US HOUSE DISTRICT OH 014,Challenger,Lost-General,136369.37
"ROBISON, MIKE",REPUBLICAN,OH,HOUSE DISTRICT 031,Challenger,Lost-General,134361.70
"CAREY JR, JOHN A",REPUBLICAN,OH,HOUSE DISTRICT 087,Open,Won-General,131832.28
"SMITH, SHIRLEY A",DEMOCRATIC,OH,SENATE DISTRICT 021,Incumbent,Won-General,131715.54
"BAKER, NAN A",REPUBLICAN,OH,HOUSE DISTRICT 016,Incumbent,Won-General,130117.56
"STINZIANO, MICHAEL",DEMOCRATIC,OH,HOUSE DISTRICT 025,Open,Won-General,128149.99
"BALDERSON, TROY",REPUBLICAN,OH,HOUSE DISTRICT 094,Incumbent,Won-General,127852.32
"HOTTINGER, JAY",REPUBLICAN,OH,HOUSE DISTRICT 071,Incumbent,Won-General,123164.42
"KRABILL, JEFF",REPUBLICAN,OH,HOUSE DISTRICT 080,Challenger,Lost-General,121338.95
"FEDOR, TERESA",DEMOCRATIC,OH,HOUSE DISTRICT 047,Open,Won-General,120143.17
"ANTONIO, NICKIE J",DEMOCRATIC,OH,HOUSE DISTRICT 013,Open,Won-General,119925.42
"PATEL, NEIL",DEMOCRATIC,OH,SENATE DISTRICT 019,Open,Lost-General,116688.00
"FENDE, LORRAINE M",DEMOCRATIC,OH,HOUSE DISTRICT 062,Incumbent,Won-General,116622.92
"YARBROUGH, STEVE",NONPARTISAN,OH,APPELLATE COURT DISTRICT 006-COSME SEAT,Challenger,Won-General,114726.29
"OKEY, MARK D",DEMOCRATIC,OH,HOUSE DISTRICT 061,Incumbent,Won-General,109079.01
"HITE, CLIFF",REPUBLICAN,OH,HOUSE DISTRICT 076,Incumbent,Won-General,105814.00
"FRENCH, JUDITH L",NONPARTISAN,OH,APPELLATE COURT DISTRICT 010-FRENCH SEAT,Incumbent,Won-General,103900.25
"SKINDELL, MICHAEL J",DEMOCRATIC,OH,SENATE DISTRICT 023,Open,Won-General,103749.56
"LUCCI, EUGENE",NONPARTISAN,OH,APPELLATE COURT DISTRICT 011-OTOOLE SEAT,Open,Lost-General,103314.94
"DORRIAN, JULIA L",NONPARTISAN,OH,APPELLATE COURT DISTRICT 010-OPEN SEAT,Open,Won-General,99733.51
"OBRIEN, SEAN J",DEMOCRATIC,OH,HOUSE DISTRICT 065,Open,Won-General,95760.00
"SLESNICK, STEPHEN D",DEMOCRATIC,OH,HOUSE DISTRICT 052,Incumbent,Won-General,92990.69
"HENDON, SYLVIA SIEVE",NONPARTISAN,OH,APPELLATE COURT DISTRICT 001-HENDON SEAT,Incumbent,Won-General,91879.64
"LANDIS, AL",REPUBLICAN,OH,HOUSE DISTRICT 096,Challenger,Won-General,91484.22
"LUCKIE II, CLAYTON R",DEMOCRATIC,OH,HOUSE DISTRICT 039,Incumbent,Won-General,89934.01
"WINBURN, ROLAND",DEMOCRATIC,OH,HOUSE DISTRICT 040,Incumbent,Won-General,89584.66
"CARTER, BRUCE",DEMOCRATIC,OH,HOUSE DISTRICT 054,Challenger,Lost-General,89536.68
"BROWN, EDNA R",DEMOCRATIC,OH,SENATE DISTRICT 011,Open,Won-General,87242.40
"MARTIN, JARROD B",REPUBLICAN,OH,HOUSE DISTRICT 070,Incumbent,Won-General,87128.60
"HALL, DAVE",REPUBLICAN,OH,HOUSE DISTRICT 097,Incumbent,Won-General,87057.91
"OWENS, ROBERT",CONSTITUTION,OH,ATTORNEY GENERAL,Challenger,Lost-General,86799.72
"WRIGHT, THOMAS",NONPARTISAN,OH,APPELLATE COURT DISTRICT 011-OTOOLE SEAT,Open,Won-General,85460.67
"DERICKSON, TIMOTHY S",REPUBLICAN,OH,HOUSE DISTRICT 053,Incumbent,Won-General,83074.00
"ASHFORD, MICHAEL D",DEMOCRATIC,OH,HOUSE DISTRICT 048,Open,Won-General,83001.00
