office,candidate,party,state,incumbency,result,total money,district
State Representative,Larry Faircloth,REP,WV,Incumbent,Won-General,20009.59,53
Governor,Bob Myers,LIB,WV,Challenger,Lost-General,19696.0,nan
State Representative,Rick Modesitt,REP,WV,Incumbent,Won-General,19560.0,10
State Representative,Richard Browning,DEM,WV,Challenger,Won-General,19221.99,23
State Representative,Frank Angotti,DEM,WV,Incumbent,Won-General,19068.0,41
State Representative,E Romine,REP,WV,Incumbent,Lost-General,17930.0,15
State Representative,Lawrence Brent Boggs,DEM,WV,Incumbent,Won-General,17727.98,34
State Representative,William Stemple,DEM,WV,Incumbent,Won-General,16634.64,33
Auditor,Glen Gainer III,DEM,WV,Incumbent,Won-General,16626.08,nan
State Representative,Robert Ashley,REP,WV,Challenger,Won-General,16517.21,11
State Representative,Jon Amores,DEM,WV,Incumbent,Won-General,15950.0,30
State Representative,Paul Prunty,DEM,WV,Incumbent,Won-General,15607.65,43
State Representative,Ronald Fragale,DEM,WV,Challenger,Won-General,15450.0,41
State Representative,Lacy Wright Jr.,DEM,WV,Incumbent,Won-General,15275.0,22
State Representative,Kenneth Tucker,DEM,WV,Incumbent,Won-General,15126.54,4
State Representative,Thomas Campbell,DEM,WV,Incumbent,Won-General,15090.0,28
State Representative,Emily Yeager,DEM,WV,Incumbent,Won-General,15056.62,22
State Representative,Steve Harrison,REP,WV,Incumbent,Won-General,14539.32,32
State Representative,Steve Hunter,DEM,WV,Challenger,Lost-General,14502.49,28
State Senator,Billy Wayne Bailey Jr.,DEM,WV,Incumbent,Won-General,14450.0,9
State Representative,Roy Givens,DEM,WV,Incumbent,Won-General,14172.5,2
State Representative,Susan Hubbard,DEM,WV,Incumbent,Won-General,14154.56,16
State Representative,Robert Tabb,DEM,WV,Challenger,Lost-General,14095.4,55
State Senator,Donna Boley,REP,WV,Incumbent,Won-General,14075.0,3
State Representative,Timothy Armstead,REP,WV,Incumbent,Won-General,13987.12,32
State Representative,Laura Rauch Rose,DEM,WV,Challenger,Lost-General,13900.0,54
State Representative,John Overington,REP,WV,Incumbent,Won-General,13883.23,54
State Representative,Jody Smirl,REP,WV,Incumbent,Won-General,13857.0,16
State Representative,Rusty Webb,REP,WV,Incumbent,Won-General,13785.0,32
State Representative,Earnie Kuhn,DEM,WV,Incumbent,Won-General,13759.75,21
State Representative,Everette William Anderson Jr.,REP,WV,Incumbent,Won-General,13347.32,8
State Representative,Robert Beach,DEM,WV,Challenger,Won-General,13110.92,44
State Representative,Mary Poling,DEM,WV,Open,Won-General,12817.46,40
State Representative,Pat Criss,DEM,WV,Challenger,Lost-General,12307.37,8
State Representative,Brady Paxton,DEM,WV,Open,Won-General,11906.2,13
State Representative,Richard Altman,DEM,WV,Open,Lost-General,11422.83,3
State Representative,Dale Martin,DEM,WV,Open,Won-General,11211.08,13
State Representative,Arley Johnson,DEM,WV,Incumbent,Won-General,11050.0,15
