office,candidate,party,state,incumbency,result,total money,district
State Representative,Christopher Halgas,REP,NJ,Challenger,Lost-General,34373.45,7
State Representative,John Dimaio,REP,NJ,Incumbent,Won-General,32667.3,23
State Representative,Wayne Wittman,REP,NJ,Challenger,Lost-General,31830.01,14
State Senator,Raymond Santiago,DEM,NJ,Open,Lost-General,30408.0,11
State Representative,Robert Villare,REP,NJ,Challenger,Lost-General,29421.03,3
State Representative,Robert Schroeder,REP,NJ,Incumbent,Won-General,28221.61,39
State Representative,Alisa Cooper,DEM,NJ,Challenger,Lost-General,27776.0,2
State Representative,Holly Schepisi,REP,NJ,Challenger,Won-General,26700.0,39
State Representative,Lee Holtzman,REP,NJ,Challenger,Lost-General,26627.3,27
State Representative,Charles Mainor,DEM,NJ,Incumbent,Won-General,24607.0,31
State Representative,Marcia Silva,REP,NJ,Challenger,Lost-General,23003.29,18
State Representative,Donna Puglisi,REP,NJ,Open,Lost-General,19934.0,35
State Representative,Sheree McGowan,REP,NJ,Challenger,Lost-General,19314.86,14
State Representative,Jack Ciattarelli,REP,NJ,Challenger,Won-General,19014.0,16
State Senator,Paul Lund Jr.,REP,NJ,Challenger,Lost-General,17754.8,19
State Senator,Donald Diorio,REP,NJ,Challenger,Lost-General,15745.04,36
State Representative,Karen Carroll,DEM,NJ,Challenger,Lost-General,14829.0,23
State Representative,Nicole Hagner,REP,NJ,Challenger,Lost-General,14227.29,27
State Senator,Robert Brown,DEM,NJ,Open,Lost-General,13277.47,12
State Representative,William Spedding,DEM,NJ,Open,Lost-General,12788.81,12
State Representative,Kathleen Horgan,DEM,NJ,Challenger,Lost-General,12185.0,11
State Representative,Howard Kleinhendler,DEM,NJ,Open,Lost-General,11318.19,30
State Representative,Shane Robinson,REP,NJ,Challenger,Lost-General,11236.62,19
State Representative,Elliot Isibor,DEM,NJ,Challenger,Lost-General,10171.44,26
State Representative,Shelley Lovett,REP,NJ,Challenger,Lost-General,9174.0,4
State Senator,Edwin Selby,DEM,NJ,Challenger,Lost-General,8561.97,24
State Representative,Dave Fried,REP,NJ,Challenger,Withdrew-General,8200.0,14
State Representative,Marilyn Schlossbach,DEM,NJ,Challenger,Withdrew-General,7496.0,11
State Senator,John Graf Jr.,DEM,NJ,Challenger,Lost-General,7278.69,23
State Senator,Giancarlo Dorazio,REP,NJ,Challenger,Lost-General,7024.65,4
State Representative,Catherine Tinney Rome,DEM,NJ,Open,Lost-General,6940.0,12
State Representative,Tony Celeste,IND,NJ,Challenger,Lost-General,6800.95,4
State Senator,Rick Thoeni,DEM,NJ,Challenger,Lost-General,6108.0,25
State Senator,Helen Rosales,REP,NJ,Challenger,Lost-General,4815.31,20
State Senator,Robert Lebovics,REP,NJ,Challenger,Lost-General,4675.55,37
State Senator,Shannon Wright,REP,NJ,Challenger,Lost-General,4477.81,22
State Senator,Phil Mitsch,REP,NJ,Challenger,Lost-General,4328.75,6
State Senator,Michael Mulligan,REP,NJ,Challenger,Lost-General,4140.0,3
State Representative,Julian Heicklen,IND,NJ,Challenger,Lost-General,3296.25,37
State Representative,Daniel Beckelman,REP,NJ,Challenger,Lost-General,2654.0,31
State Senator,Daniel Seyler,IND,NJ,Challenger,Lost-General,1028.2,23
State Senator,Gloria Dittman,REP,NJ,Challenger,Lost-General,500.0,18
State Representative,David Pinckney,REP,NJ,Challenger,Lost-General,170.0,28
State Representative,Sean Connors,DEM,NJ,Challenger,Won-General,100.0,33
State Representative,Bradley Billhimer,DEM,NJ,Challenger,Lost-General,0.0,9
State Representative,Carla Kearney,DEM,NJ,Challenger,Lost-General,0.0,9
State Representative,Eli Eytan,DEM,NJ,Challenger,Lost-General,0.0,10
State Representative,Bette Wary,DEM,NJ,Challenger,Lost-General,0.0,10
State Representative,Kevin Lavan,DEM,NJ,Challenger,Lost-General,0.0,13
State Representative,Patrick Short,DEM,NJ,Challenger,Lost-General,0.0,13
State Representative,Norman Albert,DEM,NJ,Challenger,Lost-General,0.0,21
State Representative,Bruce Bergen,DEM,NJ,Challenger,Lost-General,0.0,21
State Representative,Scott McDonald,DEM,NJ,Challenger,Lost-General,0.0,23
State Representative,Leslie Huhn,DEM,NJ,Challenger,Lost-General,0.0,24
State Representative,Jim Nye,DEM,NJ,Challenger,Lost-General,0.0,24
State Representative,Gale Heiss Colucci,DEM,NJ,Challenger,Lost-General,0.0,25
State Representative,George Stafford,DEM,NJ,Challenger,Lost-General,0.0,25
State Representative,Joseph Raich,DEM,NJ,Challenger,Lost-General,0.0,26
State Representative,Shaun Orourke,DEM,NJ,Open,Lost-General,0.0,30
State Representative,William Brennan,DEM,NJ,Challenger,Lost-General,0.0,40
State Senator,Dorothy Ryan,DEM,NJ,Challenger,Lost-General,0.0,9
State Senator,Charles Tivenan,DEM,NJ,Challenger,Lost-General,0.0,10
State Senator,Paul Swanicke,DEM,NJ,Challenger,Lost-General,0.0,21
State Senator,Wasim Khan,DEM,NJ,Challenger,Lost-General,0.0,26
State Senator,Steven Morlino,DEM,NJ,Challenger,Lost-General,0.0,30
State Senator,John Zunic,DEM,NJ,Challenger,Lost-General,0.0,40
State Representative,William Levins,REP,NJ,Challenger,Lost-General,0.0,5
State Representative,Allan Richardson,REP,NJ,Challenger,Lost-General,0.0,6
State Representative,Kathy Kilcommons,REP,NJ,Challenger,Lost-General,0.0,15
State Representative,Peter Yull,REP,NJ,Challenger,Lost-General,0.0,15
State Representative,Carlo Dilalla,REP,NJ,Challenger,Lost-General,0.0,17
State Representative,Robert Mettler,REP,NJ,Challenger,Lost-General,0.0,17
State Representative,Joseph Sinagra,REP,NJ,Challenger,Lost-General,0.0,18
State Representative,Angel Leon,REP,NJ,Challenger,Lost-General,0.0,19
State Representative,John Donoso,REP,NJ,Challenger,Lost-General,0.0,20
State Representative,Jeffrey First,REP,NJ,Challenger,Lost-General,0.0,22
State Representative,Joan Van Pelt,REP,NJ,Challenger,Lost-General,0.0,22
State Representative,Carol Humphreys,REP,NJ,Challenger,Lost-General,0.0,28
State Representative,Elaine Guarino,REP,NJ,Challenger,Lost-General,0.0,29
State Representative,Lisa Kistner,REP,NJ,Challenger,Lost-General,0.0,29
State Representative,Michael Alonso,REP,NJ,Challenger,Lost-General,0.0,31
State Representative,Michael Bartulovich,REP,NJ,Challenger,Lost-General,0.0,32
State Representative,Ronald Tarolla,REP,NJ,Challenger,Lost-General,0.0,32
State Representative,Christopher Garcia,REP,NJ,Challenger,Lost-General,0.0,33
State Representative,Fernando Uribe,REP,NJ,Challenger,Lost-General,0.0,33
State Representative,Steve Farrell,REP,NJ,Challenger,Lost-General,0.0,34
State Representative,Joan Salensky,REP,NJ,Challenger,Lost-General,0.0,34
State Representative,William Connolly,REP,NJ,Open,Lost-General,0.0,35
State Representative,John Genovesi,REP,NJ,Challenger,Lost-General,0.0,36
State Representative,Sara Rosengarten,REP,NJ,Challenger,Lost-General,0.0,36
State Representative,Gregory John Aslanian,REP,NJ,Challenger,Lost-General,0.0,37
State Representative,Keith Jensen,REP,NJ,Challenger,Lost-General,0.0,37
State Representative,Richard Goldberg,REP,NJ,Challenger,Lost-General,0.0,38
State Senator,Keith Walker,REP,NJ,Challenger,Lost-General,0.0,5
State Senator,Donald Cox,REP,NJ,Challenger,Lost-General,0.0,15
State Senator,Jordan Rickards,REP,NJ,Challenger,Lost-General,0.0,17
State Senator,Russell Mollica,REP,NJ,Challenger,Lost-General,0.0,28
State Senator,Aracelis Sanabria-Tejada,REP,NJ,Challenger,Lost-General,0.0,29
State Senator,Donnamarie James,REP,NJ,Challenger,Lost-General,0.0,31
State Senator,Edward Oneill,REP,NJ,Challenger,Lost-General,0.0,32
State Senator,Beth Hamburger,REP,NJ,Challenger,Lost-General,0.0,33
State Senator,Ralph Bartnik,REP,NJ,Challenger,Lost-General,0.0,34
State Senator,Ken Pengitore,REP,NJ,Open,Lost-General,0.0,35
